 	stava	ancora	cucinando	</S>
ì	0.99334085	0.0064813691	0.000101284622	7.64631996e-05
s	0.947431603333	0.0472073287667	0.00171449252533	0.00364655237627
t	0.932234457778	0.0606777812222	0.00225115216058	0.00483657305136
i	0.970499849259	0.0266780907074	0.000891427898993	0.00193058292972
g	0.722872339753	0.273033728902	0.00115454135966	0.00293934719657
g	0.378734293251	0.616567076301	0.00137782670989	0.00332079236552
h	0.215845686084	0.780790258767	0.0013025926933	0.00206150548851
e	0.116936927028	0.869999076256	0.0115620881978	0.00150193496284
a	0.0621969793427	0.910035648752	0.0261125540659	0.00165479458761
n	0.0236348166476	0.950068582917	0.0215075181886	0.0047890456292
k	0.0083056759892	0.679843020972	0.0817571762295	0.23009407921
ò	0.0030340084364	0.274584406991	0.269191342076	0.453190189737
r	0.00124474026547	0.43540474233	0.260079186692	0.303271305279
a	0.00129080410849	0.485008742443	0.393599834897	0.12010063846
m	0.00140021672283	0.409116575814	0.458975846966	0.13050738082
a	0.00200161549428	0.376972453271	0.494852497655	0.126173436607
r	0.00206569910143	0.14050059109	0.527328349218	0.330105348536
è	0.00098063971381	0.0599567139633	0.539626019739	0.399436583845
o	0.0017375807146	0.0216301861878	0.66802110658	0.308611098948
n	0.0017938724482	0.0171841446626	0.476804402193	0.504217586316
t	0.0006273199619	0.0150085103975	0.262509316064	0.721854842105
a	0.00117379732313	0.0053400984225	0.124122924021	0.869363180702
</S>	0.00202917266156	0.00307820738125	0.0914641170105	0.903428520351
