 	venne	scritto	</S>
ì	0.98294613	0.002874173365	0.014179695
r	0.696318265333	0.061315038365	0.242366706
t	0.535698543778	0.125629739455	0.338671742
e	0.719111614593	0.0887975080517	0.192090874
g	0.515859607998	0.346610420917	0.137529931333
r	0.174750644799	0.735541473639	0.089707867111
a	0.060859678933	0.874059324546	0.0650810017037
m	0.033992826311	0.835295898182	0.130711286568
m	0.024121606447	0.499543284927	0.476335105523
è	0.00842717494233	0.191946998842	0.799625801841
n	0.00338228506411	0.399892854614	0.59672484728
o	0.0157600716547	0.450118208205	0.534121729093
</S>	0.0293705358273	0.233074719102	0.737554764547
