 	non	vuole	mangiato	mangiato	tutta	una	volta	</S>
e	0.595515855	0.3983247575	0.006100524	5.62469805e-05	1.9344443e-06	1.15108342e-07	3.55692288e-07	2.249794e-07
t	0.314041311667	0.6744812525	0.0111434863333	0.0003211759505	1.14774524667e-05	4.46113042e-07	4.08958488e-07	4.63289656667e-07
è	0.158306043222	0.801776130833	0.0392636224444	0.000632168950167	2.03402811556e-05	7.01136057333e-07	4.68979222667e-07	5.59969262222e-07
l	0.0720450924073	0.841543256944	0.0824047241481	0.00321148928339	0.000687296362719	5.62388556291e-05	1.82061634342e-05	3.37274822641e-05
i	0.0389462772024	0.698734098981	0.254247034716	0.0069542114278	0.00096469851424	8.2276142543e-05	2.51983440781e-05	4.6253178288e-05
f	0.0155809568008	0.446791912994	0.462810744905	0.0658173111426	0.00806010499808	0.000551898871514	0.000134272188959	0.000252863173629
a	0.00963124260027	0.243026837665	0.631439081635	0.103345947048	0.0112902328327	0.000753680800505	0.000182028859653	0.000331019372876
m	0.00759583453342	0.118493410555	0.722801527212	0.139574852349	0.0103961837776	0.000547355443502	0.000134679203218	0.000456194539292
o	0.00899482384447	0.0621467408517	0.718652575737	0.19569644745	0.0132428875925	0.000592259934501	0.000143769007739	0.000530523479764
n	0.00738890351482	0.0289686519506	0.613147585246	0.324924172483	0.0223389815308	0.00110100896483	0.000207267029246	0.00192346835992
o	0.00413633340494	0.0108351904835	0.330683824082	0.591372067494	0.0557129891769	0.00398633432161	0.000539348193082	0.00273391271997
f	0.00342648746831	0.00471975856117	0.132851327027	0.750843342498	0.0947225263923	0.00730587544054	0.00212362239769	0.00400701860666
a	0.0414070764894	0.00315896482039	0.063868679209	0.761323667499	0.115522865464	0.00745790148018	0.0027679983659	0.00449278450222
m	0.0537129933731	0.00191188774013	0.0256204478363	0.750856449166	0.148529101821	0.00946807149339	0.0039972853553	0.00590373846741
è	0.085554509001	0.00519710564671	0.0126294897121	0.566151903055	0.297067767274	0.0195950501645	0.00544581811843	0.00835837582247
n	0.0960712191913	0.00624225167224	0.00755059853737	0.440933104352	0.402204212425	0.0266071077215	0.00955269170614	0.0108388229408
o	0.0329302547548	0.00218290013875	0.00412320290912	0.337743768784	0.512822080808	0.0741606509072	0.0187051105687	0.0173320526469
o	0.0123174410516	0.000759492468583	0.00138527481804	0.115889733471	0.623775996936	0.195940256969	0.0249465615229	0.024985281549
l	0.00455748975053	0.000270372574528	0.00047701049268	0.0409999618003	0.573018182312	0.236342282323	0.079645252841	0.0646894755163
i	0.0140962120168	0.000158933932176	0.00017781209456	0.0158791219134	0.429488117437	0.283103627441	0.151210170947	0.105886018505
m	0.0172818647856	0.000123093803392	7.64403191867e-05	0.00624889618447	0.331500949146	0.309044535814	0.181620346982	0.154103882835
i	0.0113270933752	0.000118421727131	4.59459503956e-05	0.00301757097816	0.236855737382	0.305346715271	0.259590108994	0.183698417612
a	0.0123523617917	0.00018389860571	5.23627051319e-05	0.00108278643939	0.0909519644607	0.418308731757	0.295129082998	0.181938815871
f	0.00715568391557	0.000141773829903	4.76160663773e-05	0.00043692148313	0.0359349986202	0.352982440586	0.334705320999	0.268595218624
o	0.00809846195686	0.000214973427968	7.70529734591e-05	0.000246126284377	0.0152564755734	0.202123553529	0.466679773666	0.307303536208
r	0.00840442938595	0.000236031923656	8.56825564864e-05	0.000165455940459	0.0065495919578	0.14362982451	0.517365797889	0.323563188736
à	0.011926607529	0.000943621388885	0.000318628327495	0.000612391142486	0.00488105251927	0.08558534017	0.581587189296	0.314145192912
</S>	0.0196461327645	0.00176496359444	0.000592139063747	0.00111965152124	0.00539778375964	0.062784973085	0.656970169648	0.251724191456
