 	il	muro	vuole	uno	specchio	</S>
o	0.541312693	0.45152777025	0.007009233175	3.26298685e-05	4.34112126e-05	7.42998056e-05
t	0.307053883	0.68103387675	0.011653700725	0.000139474582833	4.28587863667e-05	7.62694563667e-05
ì	0.201433068667	0.781151998917	0.016975019575	0.000194554427611	0.000148182320956	9.71962866222e-05
c	0.216741157222	0.766115242972	0.0166704491917	0.00015442159587	0.000188743408652	0.000129988023874
h	0.472589329074	0.518382934324	0.00873504983057	0.000143585676623	7.0827430884e-05	7.83144246247e-05
o	0.412236027358	0.487661808108	0.0980603930435	0.000707009983541	0.000303208526628	0.00103156132987
t	0.139429762119	0.612473869369	0.227633031014	0.0182813574612	0.000519019778876	0.00166295830996
è	0.0510758327063	0.519890043123	0.397844843671	0.0263139834871	0.00288844061963	0.00198690490332
l	0.0214930537354	0.310459841041	0.60542484789	0.0510107494957	0.00552393037321	0.00608761890111
i	0.00914892724513	0.14761919268	0.768434015963	0.0596615313319	0.00611883885774	0.00901749696704
è	0.00650193201504	0.0580994968933	0.703294165321	0.162728581944	0.0146888971859	0.0546869276557
n	0.00441993989801	0.0199823186178	0.469061695107	0.407521210648	0.0230823037286	0.0759325512186
a	0.0130194674257	0.00781932175927	0.266174813036	0.450811603549	0.11104382891	0.151130972406
n	0.0158932916996	0.00358815092742	0.0984776083453	0.554769644516	0.14283554397	0.184435790802
j	0.0166176474575	0.00177240995014	0.0363635601484	0.668144114839	0.07620417499	0.200898136934
a	0.0247916618192	0.00116790722138	0.0127908464921	0.406288161613	0.353126437663	0.201835019645
l	0.0162785838697	0.000432348991793	0.00481171714003	0.412297543871	0.448200562554	0.117979287215
ì	0.00763625855323	0.000370296110598	0.00219180505668	0.41093171269	0.419468220851	0.159401709072
</S>	0.00703314577661	0.000487545405299	0.00116670669334	0.205724553445	0.583246735425	0.202341279536
