 	qui	dentro	deve	mettere	un	tappeto	</S>
c	0.881331675	0.112499373	0.0053894977	0.000752576685	2.36654885e-05	2.49904825e-06	7.23191775e-07
i	0.612958455	0.178121707667	0.1191754539	0.0869481546383	0.00273136953517	2.37435527167e-05	4.1126278175e-05
ù	0.26320485362	0.283390919222	0.3243382313	0.124268782213	0.00455076884506	7.43587595722e-05	0.000172076381058
m	0.09445202916	0.361574419741	0.3695934771	0.116958018071	0.0443881842817	0.00596741430319	0.00706642586702
è	0.0427142183867	0.420337239914	0.353425302367	0.109303226357	0.0570566848606	0.00790121913506	0.00926209640467
s	0.0433154254622	0.503772589971	0.375371100789	0.048387614119	0.0222377047202	0.00334073267902	0.00357482851722
a	0.0390603662707	0.356947156657	0.544179123596	0.0442509840397	0.0119373229067	0.00189412161301	0.00173091831574
è	0.0134511202402	0.134211707219	0.714563761199	0.11538365568	0.0190262426356	0.001626613091	0.00173686058191
n	0.00472623324673	0.059566820073	0.6686665404	0.198311005227	0.0579267675452	0.00560013346367	0.00520242746064
a	0.00232519888224	0.0303356760343	0.451988818467	0.404248928409	0.0942080941817	0.00884366982122	0.00804955315355
v	0.00187864626075	0.0104081309014	0.390774544489	0.485232502803	0.0928632463939	0.00996824094041	0.00887463171785
à	0.0137187803869	0.00385739629713	0.341329132163	0.477445827601	0.132129248798	0.0192127446468	0.012306826906
l	0.01728461891	0.00151340535904	0.121851290721	0.5112062092	0.277500029599	0.0468953152156	0.0237491189687
i	0.00839001941773	0.000627767183013	0.0470847851403	0.312405808733	0.5150544432	0.0676360744052	0.0488010846562
è	0.00587488873924	0.000385317547671	0.0161072541101	0.125104377911	0.704548531067	0.0599006171351	0.0880789815521
n	0.00241023726695	0.000200768022557	0.00553238370003	0.0624002743037	0.720526257022	0.0985257767117	0.110404277184
a	0.00185357167618	0.000117952870852	0.00201996690001	0.0370096861012	0.565674605674	0.154949565571	0.238374629061
t	0.00168638596873	9.0666681484e-05	0.000756104280003	0.0161162513671	0.416756958558	0.217760898524	0.346832716354
a	0.00148699343291	0.000118687305028	0.000319534288668	0.00825794378903	0.289160826186	0.219432074508	0.481223922118
p	0.00143843450097	0.000129240910343	0.000178794278223	0.00417483285634	0.136382335395	0.281181186503	0.576515164039
p	0.000517343673923	5.53596014477e-05	0.000137942827741	0.00171507030211	0.0570365791317	0.336733848834	0.60380384468
è	0.0197841075749	0.000478250866483	0.00191817887758	0.00341805152404	0.0206717449439	0.413647182945	0.540082458227
t	0.0262144989353	0.000612597507328	0.00249007349253	0.00380950524135	0.00912566511463	0.662522094315	0.295225529409
o	0.0134841067221	0.00127284605428	0.00152184293084	0.00811198748045	0.00981901060488	0.545931761438	0.419858443136
</S>	0.0138475473611	0.00223561287714	0.00177064581542	0.0142762412402	0.0130767953024	0.315650675719	0.639142521568
