 	forse	sono	usciti	</S>
f	0.9990763	0.000869941785	3.6009691e-05	1.77210315e-05
ò	0.79762646	0.194379255695	0.00272608288433	0.00526816677383
r	0.419901346667	0.461071061898	0.00972330029478	0.109304268925
s	0.315966922222	0.534885463966	0.00943292418493	0.139714706208
i	0.259838120974	0.686376771322	0.00535908798164	0.048426063236
e	0.137460660558	0.765546607107	0.0728580821605	0.024134672012
g	0.104280120186	0.775078749036	0.101009231387	0.0196319103373
g	0.0456760908953	0.579048253679	0.142791594462	0.232484083446
u	0.0180139282984	0.228480845226	0.375403998154	0.378101261149
ì	0.00837182309947	0.166836675075	0.434327016051	0.390464520383
k	0.00488693078982	0.118941034215	0.52005150535	0.356120536794
a	0.0885728101866	0.065648540595	0.540720145117	0.305058515598
n	0.116886870862	0.0499523234317	0.413670335039	0.419490488533
e	0.214682867754	0.0230333283772	0.33993189168	0.422351906178
</S>	0.370275583877	0.0178142451886	0.23512055084	0.376789603089
