 	non	ho	cosa	è	da	mangiare	</S>
e	0.80236581	0.174544406	0.02232078691	0.0006580721815	6.341560785e-05	3.4466869115e-05	1.294902022e-05
n	0.513318306667	0.453530635333	0.0319568163033	0.0010706737605	7.398351095e-05	3.52389373717e-05	1.43074112067e-05
è	0.217687570556	0.626019611778	0.142375848101	0.0130121903535	0.00069726721865	0.000160222710124	4.73055088689e-05
c	0.0894970201853	0.680509193926	0.209656649367	0.0187912969512	0.00109662342622	0.000283471583375	0.00016577737629
h	0.0442397840618	0.757198367975	0.183750149789	0.0131417619837	0.00108582929541	0.000314587051125	0.000269529168763
o	0.0220117042706	0.503845579158	0.403408516596	0.0588875481612	0.00693582756514	0.00349023651704	0.00142059436625
t	0.0078998025402	0.184308702886	0.662625238865	0.123414649387	0.013796434855	0.00508458110568	0.00287060898875
i	0.00421371628007	0.0739388897953	0.486140846288	0.345360316462	0.073343265285	0.0112992383019	0.00570374149625
è	0.00342389599336	0.0255134800984	0.168417483363	0.476237392154	0.221253271762	0.068835493434	0.0363189569988
n	0.00189993561945	0.00906725258947	0.0594776494877	0.413870000718	0.311620987254	0.113067219145	0.0909969156663
a	0.00287607402815	0.00351405661982	0.0224614692892	0.286472267573	0.349535349085	0.187601821048	0.147538955222
f	0.00338327832272	0.00225436380661	0.0085930974564	0.123912506524	0.418293389695	0.235747580349	0.207815761741
à	0.0191126345542	0.00161095191887	0.00392233838547	0.065739172808	0.325412117898	0.353538100116	0.230664653914
o	0.0249465114514	0.000889486879623	0.00134702892349	0.0225516459693	0.151808489299	0.487169966705	0.311286874638
</S>	0.0136361421257	0.000651307424811	0.000699442804245	0.0118891495847	0.10269019765	0.471065033352	0.399368752319
