 	non	mangiare	la	sera	</S>
m	0.5048660335	0.46074797835	0.032586716675	0.000951342725	0.000847895445
i	0.2349837035	0.656083326117	0.051660004225	0.0517944061083	0.005478512315
f	0.142814596067	0.529323288706	0.246950740075	0.0692568518361	0.0116544657717
a	0.0537502719223	0.466154359569	0.422986146692	0.0450177137454	0.0120914915906
i	0.0217635428941	0.339390019856	0.546979148897	0.0820117979151	0.00985552019687
o	0.00800592145137	0.122784936819	0.485761774966	0.373347565972	0.0100998330656
v	0.00366887415046	0.0453200001397	0.410228050322	0.439850948657	0.100932141355
r	0.00192188971682	0.0182997469266	0.371208836774	0.263217659552	0.345351863785
à	0.00492980680561	0.00748528628887	0.148164957925	0.428650459851	0.410769497928
i	0.00601702060187	0.00411123472962	0.064451419975	0.632448773284	0.292971602643
</S>	0.00366147430093	0.00256052916481	0.0386333224875	0.690820716642	0.264324041322
