 	il	morto	si	piange	</S>
o	0.99604815	0.0036418621	0.00019041466	7.40669075e-05	4.56723135e-05
a	0.980803933333	0.0176397668667	0.00100699022	0.000376924094167	0.000172461931167
p	0.739696911111	0.256775495622	0.00278654670667	0.000478552911389	0.000262499487056
e	0.36326349037	0.558599488541	0.0740714540689	0.00340484935046	0.000660730762352
t	0.197196253457	0.665101619514	0.126442888023	0.00555475625015	0.00570447688745
a	0.166921484486	0.674147473171	0.137736552674	0.0111306815501	0.0100637979625
m	0.106208668495	0.72030622439	0.148936529558	0.0135110482834	0.0110375369875
m	0.0438917974983	0.53198235313	0.231889295186	0.0406808208611	0.151555734996
è	0.0199200706328	0.22597028271	0.480682018395	0.0689128516204	0.204514781665
n	0.00915654271093	0.435194380903	0.429351643465	0.0453221215401	0.080975313455
o	0.00466088693698	0.467109216801	0.340501995155	0.12156072818	0.0661671507183
i	0.00387496724566	0.159659879034	0.439711531718	0.279840849393	0.116912753573
k	0.00268289304855	0.0542551664447	0.428371667239	0.303581673131	0.211108624524
l	0.00098728682735	0.0184636443836	0.290789956746	0.32087079771	0.368888341508
è	0.000370674680283	0.0062669625432	0.110002293249	0.544410755903	0.338949329169
e	0.000734406453428	0.00227508466107	0.0467683495163	0.745751358634	0.204470815056
t	0.000827267714476	0.000902801487023	0.0407811516054	0.737825836211	0.219662955019
e	0.0148507185348	0.00116797096234	0.0375883727685	0.679386795404	0.267006155006
</S>	0.0292693027674	0.00179825398117	0.0206040347343	0.661786822702	0.286541592503
