 	sono	vestita	</S>
ì	0.95549245	0.0354867345	0.00902078425
m	0.788944523333	0.104553250833	0.106502230917
e	0.658511394444	0.168801490278	0.172687102306
n	0.487320189481	0.309155946759	0.203523849435
d	0.189635532727	0.58351512892	0.226849356478
i	0.067169055909	0.794299986307	0.138530984159
m	0.0253317516363	0.677244998769	0.297423290053
è	0.0110015565454	0.460416192923	0.528582290018
n	0.0053898758018	0.559710030974	0.434900090006
i	0.0149340851206	0.513870716991	0.471195176669
</S>	0.0268026365603	0.347815818495	0.625381538335
