 	devo	pulire	l'	albero	</S>
è	0.994218965	0.0054164486	4.1212067e-05	0.000309310098	1.415423675e-05
n	0.965294745	0.0274901208667	0.004414536847	0.00225700543133	0.00054365931775
a	0.866557628333	0.123323496956	0.00606734091567	0.00320883916378	0.000842725585917
k	0.537557881444	0.416634892319	0.0399967889386	0.00403335007459	0.00177712180864
a	0.200983025148	0.73285459744	0.0554245116462	0.00868419069153	0.00205373289621
t	0.0967347343827	0.835877975813	0.0519249142154	0.0121600505638	0.00330241639207
à	0.0649256657942	0.722622361938	0.0724938047385	0.132214469855	0.00774374946402
r	0.0392652012647	0.648532003979	0.118399638246	0.184395856618	0.00940727215467
o	0.0175030460882	0.641268891326	0.173116516082	0.157879922206	0.0102316073849
t	0.0103296685294	0.568103220442	0.251632188694	0.151227194069	0.0187077454616
o	0.00650190567647	0.368580255147	0.240769296231	0.359370381356	0.0247781694872
n	0.00513323695882	0.168616880049	0.302380108744	0.465993763785	0.0578760124957
à	0.00216838425294	0.0974622409453	0.297932792915	0.537038434595	0.0653981658319
r	0.000979273937647	0.0717713745774	0.326268220972	0.550616221532	0.0503649536106
b	0.000519340892549	0.0648493391258	0.518589840324	0.349518207177	0.0665233245369
u	0.00291454789085	0.0233224329253	0.365004031775	0.556736702392	0.0520223315123
r	0.00374339215028	0.00802520461177	0.206999578925	0.679041734131	0.102190110504
o	0.00268009723676	0.00288324714626	0.148850454708	0.72151653471	0.124069650835
</S>	0.00321964911838	0.00144628495663	0.074931644954	0.843792552355	0.0766098364175
