 	se	vieni	ogni	sabato	ti	compro	il	pane	</S>
a	0.482302927	0.50316918	0.014477517355	4.2685692e-05	7.282087e-06	3.8096414e-07	3.60252425e-08	1.790802725e-08	6.15349955e-08
n	0.167965123667	0.801459526667	0.029667783785	0.000750029017333	0.000147394752333	9.45381032667e-06	5.51236594167e-07	6.52691404167e-08	1.83731266833e-07
è	0.0613594074723	0.713713232222	0.218369347928	0.00620941283911	0.000323676147444	2.35266794422e-05	1.10083393139e-06	1.30461320139e-07	2.23772832278e-07
r	0.0222042237408	0.531496317407	0.416437292643	0.027331210613	0.00233138968915	0.000160058439147	1.17445394105e-05	5.26366871671e-06	2.25032280674e-05
k	0.109826086247	0.426752609136	0.406260180881	0.0466451732043	0.00915515166305	0.00102851111972	0.00024323870647	3.65115789056e-05	5.25222926891e-05
e	0.137386938927	0.235752141712	0.574022820294	0.0402847047348	0.010870400321	0.00128495523324	0.000314835029157	4.21665397685e-05	4.1013595163e-05
s	0.0473929718207	0.101893091237	0.812354940098	0.0285996495783	0.008883284207	0.000710705704413	0.000120676995052	1.56647295895e-05	2.9000458321e-05
e	0.0178664674402	0.0583754784123	0.849591680033	0.0531845925261	0.0192844004023	0.00157878620147	7.9565336684e-05	9.47106806317e-06	2.95355357737e-05
k	0.00976144048007	0.0277302721374	0.805379236678	0.111621070842	0.0420177101341	0.00307951316716	0.000221307792228	3.96074813544e-05	0.000149806929258
u	0.00748854649336	0.0162514617125	0.775246408893	0.150207873614	0.0473869480447	0.00293410412239	0.000251645900076	4.76310711181e-05	0.000185375268686
à	0.00903984399779	0.0104686607375	0.614811989631	0.259098561205	0.0864237906816	0.0193477605408	0.000413988252692	8.86355643727e-05	0.000306791721829
i	0.0199728076659	0.00643645097917	0.30473092321	0.401146497068	0.185236450227	0.0799072321803	0.00144458668423	0.000237172331458	0.000887906957276
s	0.018100940942	0.00280518313306	0.11066478807	0.468526509023	0.296294846742	0.0975566647268	0.00382895099474	0.000533555263819	0.00168857178576
à	0.025470583034	0.00180334875102	0.0393038340233	0.386977893008	0.445839358914	0.0937918722423	0.00467422826491	0.000592608354606	0.00154627164192
m	0.027833365177	0.00145164636367	0.0154400321411	0.417753487669	0.421215172971	0.103069880747	0.00575195402164	0.00190344875154	0.00558102962731
b	0.016452735558	0.00067007495789	0.00687732340037	0.374477222056	0.457169644324	0.115425073582	0.0140243443405	0.00373000935051	0.0111736088758
a	0.0147782698527	0.00117411907596	0.00243331706346	0.128418070252	0.514379148108	0.307929214527	0.0188358277802	0.0031693802835	0.0088826996586
s	0.0091100809509	0.00117751111965	0.00091026204682	0.0475340438173	0.494736536036	0.403993304842	0.0224163919267	0.00364114006117	0.0164807902529
u	0.00524047256697	0.000421339420883	0.000313628111607	0.0200418099008	0.384951804679	0.534912634947	0.0299458856422	0.00426888275372	0.0199035739843
v	0.00634869710566	0.000384428613628	0.000217180000869	0.0070461719286	0.196829544226	0.643299411649	0.0632382842141	0.0180777187512	0.0645585738948
o	0.00904469836855	0.000708084457876	0.000188522643623	0.00271480971287	0.131214645409	0.661474303883	0.0906618480714	0.0239833172504	0.0800098173983
r	0.00578998452285	0.000658702085959	9.4121574541e-05	0.00111380432429	0.0881067404697	0.679029067961	0.0986455443571	0.0272521404168	0.0993099318994
à	0.00396766147428	0.00208583632865	0.000163197951514	0.000957626124763	0.0733853448232	0.619667955987	0.155367266452	0.0344651498056	0.109939943966
z	0.00305893021109	0.00252261654955	0.000183011860505	0.000849767988254	0.0378668332744	0.607864718662	0.187291455484	0.0470927186019	0.113269907989
o	0.0010875975067	0.000968762513183	9.8803685835e-05	0.000684576309418	0.0238111898248	0.433314849554	0.292804418495	0.101823087867	0.145406677663
o	0.000512578765567	0.000499096494394	6.1709849945e-05	0.000582316736473	0.00843911978493	0.217082938518	0.448064882832	0.182167579289	0.142589737554
t	0.000285281151856	0.000243317063131	3.35822695317e-05	0.000262886664591	0.00295315935364	0.0924142258393	0.479026880944	0.232841673096	0.191938992518
s	0.000129382177785	8.30180323103e-05	1.14623791939e-05	8.9898969997e-05	0.00103159521355	0.0384904955464	0.395851993648	0.298993627699	0.265318550839
o	5.62973964283e-05	8.23421370368e-05	1.53315185313e-05	0.000298968719366	0.000559663368183	0.0209915794488	0.265406864549	0.434114962566	0.27847398028
m	0.000601668825476	0.000101678009012	1.77015292438e-05	0.000374355270455	0.000446124749394	0.0151768831496	0.166389388183	0.441543660855	0.37534852676
ì	0.000995844641825	0.00114972651967	0.000182582516148	0.00240778132082	0.000746092393131	0.0118320503832	0.101594416061	0.486890706952	0.394200785587
</S>	0.000830100520912	0.00221858195983	0.000354557008074	0.00461823966041	0.00119018624657	0.0146503166916	0.0830504030305	0.601483503476	0.291604087793
