 	vuole	andare	a	Lecce	</S>
i	0.95267613	0.04149506	0.00132289226	0.00448007685	2.58502005e-05
t	0.926697363333	0.06752245	0.00181167138667	0.00392081658333	4.76934885e-05
è	0.739518351111	0.22140683	0.0214832719622	0.0174643941611	0.000127161444167
l	0.539878907037	0.36795555	0.0352921083207	0.055845987387	0.00102745224139
i	0.360220460012	0.540506223333	0.0393329581069	0.0585631704623	0.00137714134713
n	0.139245770671	0.771486674444	0.0520059970356	0.0340897798208	0.00317175091571
a	0.052674593757	0.711065481481	0.105644085679	0.124681581607	0.00593429030524
p	0.022492779119	0.49663159716	0.242957041893	0.195957283869	0.0419613426017
à	0.0122813872397	0.276056886053	0.372197473964	0.28232483129	0.0571394428672
i	0.0050033794799	0.0998433868843	0.295123371988	0.56796872043	0.0320611496224
L	0.00222063163663	0.0358650688281	0.204003827996	0.648603000143	0.109307503207
u	0.00173857465554	0.0143450018994	0.161697129999	0.675194593381	0.147024697736
p	0.00150645626185	0.0052790375898	0.070442504333	0.74052597446	0.182245995912
p	0.00064754874345	0.0021063512726	0.033938924711	0.600911348153	0.362395798637
ì	0.0290221520273	0.0059982525002	0.0148001245037	0.558110306051	0.392069126212
u	0.0459908373424	0.00770737776673	0.00898624123457	0.44633803535	0.490977502071
n	0.0228858458208	0.00299587527391	0.00436964381152	0.243276165117	0.72647250069
a	0.0401522266469	0.00185910250964	0.00309597473717	0.136089853372	0.818802866897
</S>	0.0687972533235	0.00220346875482	0.00337080706859	0.080056094186	0.845572383449
