 	sta	e	dorme	nel	letto	</S>
s	0.86708918	0.1306786585	0.002122015905	9.2238509e-05	8.40505285e-06	9.4848425e-06
t	0.808920226667	0.1881284495	0.002842693635	9.3427663e-05	6.77069861667e-06	8.400731e-06
e	0.550038120889	0.4400095065	0.00951147987833	0.000177168421	0.000189874204872	7.37721875e-05
c	0.20022808363	0.6171865355	0.179978855293	0.002124666387	0.000279444296624	0.000202371069167
e	0.0755285104433	0.448834681833	0.461152968431	0.008585937129	0.00489694462721	0.00100098517306
p	0.0268600716811	0.243554505278	0.68918457281	0.0309685933763	0.00667687897574	0.00275541229102
l	0.0105858143604	0.099708382426	0.701921400937	0.0942430777921	0.0245022900919	0.069039057997
ò	0.00485937516013	0.0490506298087	0.685415143646	0.134793667264	0.0337509036973	0.0921303095323
n	0.00190601356004	0.0222198099362	0.747046947882	0.176581617088	0.0158471274991	0.0363984990441
n	0.000871759010013	0.0105556507021	0.563785639294	0.378200132363	0.0127834057664	0.0338033976814
i	0.00369117819334	0.0044119270907	0.285739206431	0.623161797454	0.0369460492555	0.0460497965605
s	0.00483781936445	0.00241476548357	0.132231415477	0.670145485818	0.0623582680852	0.128012187187
t	0.00185367490815	0.000928038711523	0.0626079135257	0.491795891939	0.105221561028	0.337592895729
o	0.00612434078938	0.00119096553417	0.0220608736419	0.264974282313	0.202050123676	0.50359943191
g	0.00763118628313	0.00135904311139	0.0104069682473	0.218904415771	0.243245467892	0.518452950637
r	0.00264125339544	0.000537958223097	0.00583241192443	0.179755987924	0.210042435964	0.601189956879
à	0.00260294551288	0.000622181593666	0.00268915771681	0.0768845186413	0.260774898655	0.656426285626
t	0.00259253005763	0.000673652552889	0.00265225787227	0.118550809547	0.314663396218	0.560867348542
t	0.00087888179721	0.000251059548163	0.00192659894809	0.120767709849	0.380679288739	0.495496436181
i	0.0128911822571	0.00172018505825	0.000773858413363	0.0467366749497	0.350323656246	0.58755441206
</S>	0.0253253921286	0.00331167952912	0.000564799566681	0.0303706799748	0.241253918123	0.69917350603
