 	pure	che	ti	vedo	una	volta	non	ti	dimentico	mai	</S>
p	0.975869085	0.0199710295	0.00329106025	0.000555715365	7.66311775e-05	0.0002270087575	5.72912055e-06	3.213830135e-06	2.28971116e-07	1.257403263e-07	1.32999005e-07
ù	0.966374751667	0.0316631071667	0.00132870599667	0.000509302808333	3.73452578333e-05	8.18847867e-05	3.37568387e-06	1.26147142167e-06	1.21175682667e-07	4.52828730333e-08	5.54971273333e-08
r	0.797975557222	0.123020114722	0.0121404954122	0.0649317368561	0.00161819573294	0.0001298343781	0.000114446540777	4.00064739606e-05	5.04000302089e-06	4.39224684774e-06	2.01934389214e-05
u	0.444925179074	0.439181914907	0.0234312594707	0.089565466952	0.00241432512431	0.000221674249367	0.000165151837592	5.41617789869e-05	7.6740633403e-06	5.97266588258e-06	2.72679379738e-05
k	0.183646472025	0.689419024969	0.0680636024902	0.050390074984	0.0050167695881	0.00140385247312	0.00165676617653	0.000319437593996	2.50488554468e-05	1.24813813942e-05	4.64802276579e-05
a	0.0787908560083	0.778021151656	0.0960426514967	0.0367320546613	0.00588195279603	0.00184972914437	0.00217446022384	0.000408040895332	3.19017641489e-05	1.45681845681e-05	5.26284995293e-05
s	0.0312226158694	0.832814113885	0.0958565444989	0.0321967232204	0.00407278119868	0.00220787170146	0.00133517413961	0.000225050395777	2.17064130496e-05	6.90970752603e-06	4.04947401531e-05
e	0.0216762351565	0.611945411295	0.2518877015	0.0860670377401	0.0196414392329	0.00676563540049	0.00172058674654	0.000210626031926	4.03174750165e-05	5.66165097534e-06	3.9307372051e-05
t	0.0170831651188	0.310109247098	0.451432347167	0.137105419247	0.039028543411	0.0337489268002	0.00948188498218	0.00152790201064	0.000209184376339	4.73236142251e-05	0.00022603532935
o	0.0144612394396	0.144416960799	0.530753829056	0.160568779749	0.0811242968037	0.0530335522667	0.0129276513274	0.00206044730355	0.00029769304878	6.31341669084e-05	0.000292411351117
r	0.0132719469232	0.052884525033	0.584961076352	0.175108139916	0.0999051279346	0.0575849340889	0.0129730561091	0.00229615673452	0.000379708239593	0.000103690601136	0.000531629458372
ò	0.00465709683107	0.0213933463443	0.607748445451	0.214052106639	0.0904960483115	0.046468645163	0.011780359703	0.00227663622817	0.000401095079864	0.000116604067712	0.000609613963457
m	0.00175745569196	0.00823429648143	0.41601322315	0.476236995546	0.0719182954372	0.0185927518543	0.004853351601	0.00158941865939	0.000234095889955	0.000113515916571	0.000456620165152
ì	0.00156160223225	0.00408678239381	0.18173793905	0.496388871849	0.225022301146	0.0810413702848	0.006731593567	0.0021226642198	0.000667977193318	0.000147424348857	0.000491503671717
a	0.00180715446742	0.0025655127446	0.08514458145	0.201093835283	0.449733717049	0.225063553428	0.0256673608557	0.00600616847327	0.00229922446444	0.000172351849619	0.000446551327239
f	0.000922670556473	0.000965316544867	0.04254444325	0.109332786428	0.430942729016	0.329091491143	0.0530419059519	0.0233203153244	0.00420910048815	0.00138741418987	0.00424182486241
o	0.00186929306282	0.000444840681622	0.0280879210267	0.0758315439093	0.438120033005	0.343408537048	0.070345036984	0.0290272144415	0.00554238896272	0.00180395012996	0.00551925146747
r	0.00217895183894	0.000184972739541	0.0105574951189	0.0324880047364	0.448498187668	0.367870465683	0.0970113889947	0.0259624031472	0.00655155045424	0.00164516687665	0.00705142850249
à	0.00291296789765	0.000720193308847	0.00492985903963	0.0214065992455	0.452711822556	0.359148101894	0.109364622998	0.0282377370491	0.0109729718181	0.00176021996888	0.00783487770083
e	0.00323278464922	0.000893888423616	0.00208606057821	0.0122346628152	0.474399040852	0.252341297298	0.157480310999	0.0633796110164	0.0268955952727	0.00175840413296	0.00529831750028
n	0.00115670825141	0.000305627822539	0.00070971356107	0.0048344283384	0.356078893617	0.181535589099	0.238868130333	0.152030443672	0.0348809347576	0.00708683561099	0.0225127030668
s	0.00038848613343	0.000103371390956	0.00024832853119	0.00194725173247	0.201776134539	0.142830246366	0.348751440111	0.211618084557	0.0402054315859	0.013147698537	0.0389835290223
e	0.000180621322437	4.03839770953e-05	8.77033898967e-05	0.00065519249149	0.084661749513	0.087307304122	0.35472951337	0.316846914852	0.106873431862	0.0150470535123	0.0335701323408
s	0.000118496474812	2.15020326984e-05	3.50128995322e-05	0.00022748928283	0.0332652858377	0.042103467374	0.311132311123	0.402963771617	0.135499370621	0.0223829975041	0.0522503034469
c	4.91584780707e-05	1.06020928328e-05	3.16127717441e-05	9.237342361e-05	0.0160617181126	0.0236853521247	0.240441423041	0.305882130539	0.11906769354	0.0888402125014	0.205837737816
e	0.00066467285849	2.39243665443e-05	4.82903049147e-05	4.379747967e-05	0.0073164213442	0.0150387853749	0.11857591568	0.24413161018	0.242553627847	0.128388124167	0.243214837272
r	0.000880873797163	3.42126661814e-05	4.29924983049e-05	2.542503569e-05	0.00487549645473	0.016551246125	0.111104787227	0.300895656727	0.268163493949	0.0994846500557	0.197941143757
r	0.000307680791654	2.00734770605e-05	3.73193861016e-05	3.953241523e-05	0.00439682051824	0.0211553087083	0.0850595680757	0.249900385576	0.16703049265	0.197384618685	0.274668181252
è	0.00321419011215	0.000360638273353	0.000369264625367	0.000122316933077	0.00283291400608	0.0572306909028	0.0473897963586	0.141317678525	0.14230053755	0.356831052895	0.248030917084
o	0.00453180650405	0.000659668091118	0.000653259608456	0.000236213957692	0.00226127750203	0.0721509046343	0.0536406854529	0.113415667508	0.14235522585	0.416388517632	0.193706769028
m	0.00188933418302	0.000414552603706	0.000411446346819	0.000188904926064	0.00114212202068	0.0341158772114	0.0444902478843	0.093723052836	0.111215644283	0.409953755877	0.302455063009
à	0.00599300294267	0.0014905138079	0.00155263812627	0.000359938435521	0.00235804492689	0.0617488037371	0.0502062400281	0.067988426612	0.0722980370943	0.417130475292	0.318873874336
i	0.00954857658089	0.0035737277693	0.00344739114209	0.00172604174517	0.00327946397563	0.0892736892457	0.096124126676	0.055913662204	0.0956412856981	0.437194538431	0.204277481445
</S>	0.00809973319045	0.00438509463465	0.00400169157105	0.00282909217258	0.00250602563781	0.0745114116229	0.117078258338	0.052130896102	0.117574497849	0.436992279215	0.179890995723
