 	che	consuma	poco	benzina	</S>
n	0.987577555	0.012334433	6.69390265e-05	1.623964065e-05	4.84777515e-06
a	0.973548291667	0.025708042	0.0006743489705	5.20306623167e-05	1.731348815e-05
k	0.708196013889	0.288049836	0.0033763341235	0.000160504904106	0.000217355999383
o	0.339918161296	0.648374558667	0.0110002800412	0.000389138201369	0.000317840349794
n	0.181943130432	0.803991552889	0.0132334830137	0.000434265890456	0.000397528049931
s	0.117518116811	0.849713984296	0.0242297573379	0.00436501733682	0.00417311481664
u	0.0714603092703	0.793767414765	0.111036389113	0.0168361129456	0.00689978627221
m	0.0309219104234	0.809131991588	0.136336679704	0.0175956471485	0.00601379042407
è	0.0130342725078	0.832189113863	0.140643913235	0.00872782811617	0.00540485860802
t	0.00515158812927	0.840595321288	0.142812447745	0.00680893570539	0.00463166220267
s	0.00210230900309	0.896599440429	0.0859831025817	0.00722649133513	0.00808857593422
i	0.00131724643436	0.613247810143	0.335888647527	0.0327267267784	0.0168194679781
a	0.00127405021145	0.218921261114	0.660577332509	0.0911455835928	0.028081689326
l	0.00182201907048	0.083084503438	0.656377577503	0.141241897864	0.117473959775
ì	0.00252352192349	0.037285310146	0.556440659168	0.226397519288	0.177352946592
o	0.0035031210745	0.0132212289853	0.387622699723	0.421144973096	0.174507932197
b	0.0029677916415	0.00633442773177	0.202518463241	0.515153857699	0.273025450732
e	0.0233972669638	0.00403142427059	0.10709054208	0.551664752566	0.313816006911
n	0.0301010683113	0.0014546901502	0.0410097226933	0.517129744189	0.41030475897
z	0.0100623089982	0.000526865031667	0.0173253242111	0.307851451396	0.664234019657
ì	0.0150248149039	0.000318208092156	0.00850606571703	0.210231527132	0.765919373219
n	0.0167345700846	0.000375648324052	0.00696828703901	0.374328109044	0.60159339774
a	0.0704899434782	0.000974016201351	0.00682927114634	0.405751756348	0.515955005913
</S>	0.132528656739	0.00156893670068	0.00773681907317	0.282063858174	0.576101702957
