 	le	melanzane	vogliono	ee	girate	</S>
t	0.94850205	0.0511918445	0.000264402775	1.26710413e-05	2.637090435e-05	2.6649311e-06
e	0.97798084	0.021806588	0.000192687723333	6.13144863333e-06	1.21751876833e-05	1.58780626667e-06
s	0.974050736667	0.0251874508333	0.000734568322778	1.07992032111e-05	1.14247048944e-05	5.00860258889e-06
m	0.757923278889	0.239768484944	0.00215120820759	8.6062624737e-05	4.21410119648e-05	2.8781238863e-05
a	0.620642126296	0.369148248315	0.00993006323586	0.000188046838246	5.58841806549e-05	3.56137059543e-05
r	0.466402203765	0.506638002772	0.0261037777453	0.000408719779415	8.47015935516e-05	0.000362628761651
a	0.205291506255	0.665570550924	0.127700290582	0.000796506693138	0.000131779137851	0.00050941286055
n	0.111674002085	0.719094466975	0.166623026861	0.00125345756438	0.00030558295595	0.00104951982685
g	0.0431893543617	0.629415548992	0.256922648954	0.0395387982215	0.0151442272853	0.015789480909
i	0.0184282272539	0.300369079331	0.587885259651	0.0531738047405	0.0201412797618	0.0200023477197
à	0.0077835503513	0.117051826777	0.82614437655	0.0281751852468	0.0116092549206	0.0092357880899
n	0.00349033402043	0.0907123195923	0.851813672183	0.0273807790823	0.0153237949735	0.0112790924633
e	0.00269272811014	0.0751428344641	0.861622490728	0.0307843213608	0.0176426053245	0.0121149768211
t	0.00240206538338	0.0280286269214	0.905289376909	0.0318361111203	0.0151668444415	0.0172769352737
è	0.00135158834113	0.0122560941671	0.885744105636	0.0527645283734	0.0247589644805	0.0231247010912
l	0.000999062725377	0.0049162952157	0.827154145212	0.0800788461245	0.0546915678268	0.0321600333637
u	0.00360871032013	0.0025728540519	0.584135551737	0.206556802041	0.124314333942	0.0788116834546
n	0.00447751491504	0.00199542813063	0.447822860579	0.266986087347	0.146825752981	0.131892301152
e	0.00204917271335	0.00157550539221	0.350418382226	0.278087882449	0.20443337266	0.163435647051
e	0.00152370595445	0.00057252556607	0.118058155929	0.35465460415	0.350172307553	0.17501868235
e	0.00106121128148	0.000234470293357	0.039542462243	0.339447544717	0.472877479184	0.146836810783
v	0.00062798534316	0.00178065918245	0.0138216542943	0.230433428239	0.506217113061	0.247119153594
o	0.00128742858372	0.00235551735415	0.00528062188143	0.11764381608	0.59425769102	0.279174925865
t	0.00150196173591	0.00111456299805	0.00188269531714	0.0854538520267	0.661832363673	0.248214563288
i	0.000762068853303	0.000639206114683	0.000722325695713	0.0607727013422	0.677517521224	0.259586167763
m	0.000529940341101	0.00196673470023	0.000469558695238	0.0328690249807	0.643689630408	0.320475102588
m	0.000196326897434	0.00238639599174	0.000396025278413	0.0148496963936	0.479007343469	0.503164234196
è	0.12858857216	0.0123250219556	0.0872020805928	0.0104955999979	0.305429751156	0.455959004732
n	0.17142391277	0.0166591114852	0.116224596708	0.0083729708993	0.390024860385	0.297294548244
e	0.0677927653067	0.00688912036173	0.0422902934127	0.0190626261998	0.487784710128	0.376180489415
</S>	0.0498150511533	0.00391390123086	0.0262466537064	0.0323719710999	0.391851915064	0.495800544708
