 	il	medico	mi	ha	detto	che	non	devo	mangiare	dolci	perché	mi	fanno	male	a	me	mi	piacciono	e	li	mangio	</S>
o	0.82435787	0.171626351	0.00215829615	0.001319619575	0.0004939292635	1.797973925e-05	2.0547612e-06	1.405757035e-05	3.68426615e-06	3.05264575e-06	2.102354e-07	1.489292e-07	2.26477480335e-06	1.28482096e-07	2.52797565e-08	1.8858271e-08	7.2773033e-08	2.046706758e-07	9.9667745e-09	4.4257301e-09	3.7423663e-09	8.467471e-09
m	0.626993063333	0.357581377	0.0133891047833	0.00150054844167	0.000423386710167	4.520837425e-05	2.22000847333e-05	2.592331735e-05	8.35185925e-06	6.30151065e-06	1.25079354e-06	1.32739836e-06	8.7208254335e-07	2.87327536e-07	1.08496489833e-07	7.24550453333e-08	4.72060173e-07	9.25093838e-08	5.09344571667e-08	5.024723e-09	1.9293742e-09	2.0592745e-08
e	0.367099521111	0.605449709	0.0250823429278	0.00182304084722	0.000413011923389	5.315795435e-05	2.92128507444e-05	2.896394305e-05	9.76613899167e-06	6.30431057233e-06	1.53698681737e-06	1.70165438387e-06	4.05864220117e-07	3.3332383666e-07	1.33424128826e-07	8.85834578571e-08	6.01672364483e-07	5.446715141e-08	6.32841466009e-08	4.6629312024e-09	1.0701840923e-09	2.1359776569e-08
s	0.174904293704	0.778652293	0.0396588739759	0.00435507464907	0.00175058339446	0.00031090506605	0.000115361112748	0.00011340685295	7.70130482389e-05	2.42639798798e-05	1.50167814098e-05	8.72790439182e-06	3.88947297237e-06	2.26341540355e-06	1.10422728182e-06	6.58255818698e-07	5.01622639498e-06	5.2411994928e-07	4.02519323079e-07	3.93743549365e-08	1.36182823231e-08	2.00987649425e-07
s	0.093198909568	0.745575421	0.0846045046586	0.051046183883	0.0211051388982	0.00184533235535	0.000449177850916	0.00131053104098	0.00052095345608	0.00018337069796	4.36023658033e-05	3.30195981306e-05	3.64209624908e-05	1.40295249012e-05	4.46210776061e-06	2.52840900623e-06	1.92693871317e-05	5.37956321643e-06	1.16986617436e-06	1.33664452979e-07	5.20428621077e-08	3.94135516475e-07
è	0.045572844856	0.727720707	0.11939520822	0.0748905412943	0.0272126572994	0.00213751244512	0.000474225902972	0.00161950485866	0.000596853495893	0.000214699215953	3.86787995844e-05	3.29941522615e-05	4.35446637569e-05	1.58091545501e-05	4.52421916554e-06	2.52450523108e-06	1.92172912056e-05	6.49717974914e-06	1.04499570122e-06	1.27350624433e-07	5.16771718459e-08	2.64975671125e-07
r	0.0233812627853	0.748790202333	0.140886616073	0.0581945424314	0.0173948197665	0.00576329227504	0.000653776320324	0.00140700263122	0.0012300178425	0.00166727922195	0.000486164962178	4.13399003052e-05	2.6699703179e-05	3.49565727664e-05	1.20467876338e-05	5.93812710603e-06	1.01675792302e-05	5.12514992671e-06	1.77934087684e-06	1.28715938825e-06	7.19981508425e-07	4.97668863934e-06
e	0.0116366674284	0.524862057444	0.364176945358	0.0645144261438	0.0199710582555	0.00781541165835	0.00110922037344	0.00148923241041	0.00147378742417	0.00216001015965	0.000636849147726	4.55175817684e-05	2.16881488263e-05	4.15413393555e-05	1.46714635213e-05	7.14366671868e-06	7.78345721007e-06	4.76982914224e-06	2.05520880561e-06	1.67585393692e-06	9.43976393142e-07	6.56208110645e-06
m	0.00593267900947	0.243752152481	0.580800998453	0.100439275381	0.0449283707518	0.0127406001195	0.00325038682448	0.00303338600347	0.00273454428472	0.00129004997222	0.000639976842909	0.000163414212256	8.58021650421e-05	6.23132948852e-05	2.43542931504e-05	1.43248512562e-05	7.664503887e-05	1.47308418807e-05	7.19860444854e-06	1.67160141981e-06	8.10378688047e-07	6.31227992882e-06
u	0.00666785286982	0.109190148294	0.497504679484	0.258579745127	0.0996552035839	0.0149515205065	0.00416436804149	0.00392719516782	0.00316285588491	0.00100049383741	0.000639636894803	0.000201646572085	0.000106893263314	6.90752290517e-05	2.74915346318e-05	1.66568280121e-05	9.90301169767e-05	1.79657044482e-05	8.88727545785e-06	1.66836580097e-06	7.64933685349e-07	6.21890900494e-06
