 	non	ho	dove	d'	andare	</S>
e	0.76855285	0.2111000785	0.019357010635	0.0008345383683	0.0001223921268	3.307357425e-05
n	0.471661245	0.506168312833	0.0211257380117	0.000885338922767	0.000124048946933	3.52980004167e-05
è	0.194315418667	0.701688890944	0.101964635804	0.00164814544092	0.000296033980311	8.69149744722e-05
c	0.0761201042223	0.778782563648	0.141470780601	0.00275057094697	0.000563917160104	0.000312045384824
h	0.0360909017408	0.880946654549	0.0775423912003	0.00395797294899	0.000912030486701	0.000550017534941
o	0.0181845914036	0.607873885516	0.321441386067	0.0450435914163	0.00502956159557	0.00242696399498
p	0.00949884062453	0.227359521172	0.639061982022	0.111384190472	0.00735336346519	0.00534207446499
u	0.0147332728748	0.094999168824	0.476790402341	0.367179203491	0.0349819972551	0.0113159728217
è	0.0134765576383	0.032279088508	0.17187654368	0.50273296783	0.218592935752	0.0610419262739
n	0.0047706886211	0.0111377208447	0.06214030346	0.483875955943	0.313626085251	0.124449272091
a	0.0115874972687	0.00399862104357	0.0240746081167	0.383168628648	0.418502635084	0.15866806403
p	0.0140913309229	0.00301954973452	0.00820328994223	0.187160782883	0.476113245028	0.311411851343
à	0.029043736141	0.00271585275817	0.00289478624174	0.111364728794	0.521058495009	0.332922439114
o	0.0365560703803	0.00197156166606	0.000998502990247	0.0385462063313	0.637614145003	0.284313555038
</S>	0.0224189276902	0.00216792893303	0.000540980378124	0.0211204915157	0.602493822501	0.351257887519
