 	noi	ti	amiamo	a	te	di	pocchi	giorni	e	non	ti	possiamo	dimenticare	mai	di	questo	che	trocammo	bene	a	te	</S>
a31	0.040432085	0.042275205	0.047420522	0.040704093	0.02195425	0.0248178845	0.018859676	0.03804475	0.0275257785	0.0288860045	0.033958061	0.08471253	0.248475365	0.071678652	0.0418486755	0.024981985	0.01356968475	0.011972377	0.008447067	0.020385627	0.047061585	0.061988152
a11	0.0210329861667	0.0222030086667	0.0253151291667	0.021774273	0.0179054256667	0.0160017061667	0.0260618746667	0.0433521406667	0.0264954905	0.0323492641667	0.0393760296667	0.0872801533333	0.323898411667	0.0697557286667	0.0285845421667	0.0207280803333	0.01369611925	0.016118863	0.0218718933333	0.0193346926667	0.0418575593333	0.0650066286667
a23	0.0107237882222	0.0112216704556	0.0122050125556	0.0116153678	0.0134947055556	0.0105248001556	0.0251503882222	0.0411003015556	0.0234769025	0.0319838487222	0.0528944165556	0.111846604444	0.304892213889	0.0989591895556	0.0278656427222	0.0166934527778	0.01343844775	0.0193116556667	0.0252678786111	0.0123788172222	0.0270994677778	0.0978554362222
a46	0.00654331184073	0.00682991171853	0.0070082761852	0.00691028693333	0.0103340948519	0.00840311315187	0.0186705204074	0.0341065415185	0.0204902551667	0.0265182065741	0.0576384365185	0.135838164815	0.263336157963	0.147082856519	0.0352117239074	0.0133164625926	0.0105520607833	0.0184277965556	0.0143478537037	0.0082449713074	0.0320456762593	0.118143360074
a8	0.00712894571358	0.00692553557284	0.00601371616173	0.00609570951111	0.00964497828397	0.00878343805062	0.0154319088025	0.0264583455062	0.0180200880556	0.0235699905247	0.0426973321728	0.104347476605	0.251935965988	0.148324155506	0.0338667136358	0.0128648261975	0.0266162884611	0.0449758628519	0.0166191419012	0.0095122593358	0.0468715820864	0.133295754691
a31	0.00869994190453	0.0112110855243	0.00782377815391	0.00809487783704	0.010102910428	0.00994524335021	0.0134675959342	0.0211161715021	0.0186667983519	0.0217917788416	0.0277320763909	0.0628978038683	0.214208785329	0.098981728502	0.0323705062119	0.0206584567325	0.0344225951537	0.0542300576173	0.0212540599671	0.0302611171119	0.0682388273621	0.203823764897
a20	0.00727305363484	0.0115303252414	0.0075059971513	0.00710396647901	0.00946276520933	0.00905225621674	0.0109128665447	0.0177760305007	0.0243071174506	0.0241464296139	0.033813560797	0.0586171959561	0.15304060511	0.0724642661673	0.0438329450706	0.0238364789108	0.0193368243846	0.0294583342058	0.0190945803224	0.0371037903706	0.122595259121	0.257735301632
a31	0.00745852154495	0.0083967098138	0.00591567315043	0.00563558002634	0.00799118680311	0.00667756503891	0.00915672174823	0.0140597995002	0.0243167501502	0.0273933692046	0.0450156722657	0.0522442939854	0.102033472703	0.0596450010558	0.0478421530235	0.0235649696369	0.0186864331282	0.0247579510686	0.0194486974408	0.0281329634569	0.17287151304	0.288754967211
a39	0.00699364284832	0.0071205494046	0.00594794025014	0.00580642277545	0.0075476192677	0.00561903287964	0.00835921841608	0.0116931361667	0.0193889307167	0.0292692707349	0.0498702284219	0.0404540099951	0.067108029901	0.0472368870186	0.0476766876745	0.0233433615456	0.0193552917094	0.0241069146895	0.0185481208136	0.0272993701523	0.253246734347	0.274008582404
a10	0.00444678728277	0.00544096993487	0.00500409651671	0.00424059935848	0.0081915487559	0.00573003529321	0.00954514030536	0.0170607010556	0.0191645912389	0.0413219109116	0.0616332938073	0.0434023713317	0.0653732813003	0.0598130800062	0.0561898072248	0.0172474315152	0.0166518212365	0.0195071052298	0.0146799406045	0.0180632826174	0.260784728116	0.246507487468
