 	che	vende	buon	pane	</S>
a17	0.374508545	0.34259381	0.0689559925	0.088553496	0.125388113
a31	0.541579235	0.273710466667	0.0476673635	0.0640248406667	0.0730180626667
a11	0.576223365	0.277613915556	0.0549798488333	0.0467335075556	0.0444493238889
a39	0.487453205	0.300790948519	0.0854309896111	0.0542870218519	0.0720377612963
a35	0.343103618333	0.276522886173	0.086912234537	0.152224820617	0.141236383765
a39	0.299535449444	0.272495588724	0.0709816805123	0.204720416872	0.152266837922
a31	0.270357759815	0.283140226241	0.0895161178374	0.235064942291	0.121920957641
a24	0.196574453272	0.241492868747	0.0984205459458	0.305355990764	0.158156174214
a18	0.155721654424	0.193334762916	0.0897741553153	0.360304220255	0.200865221405
a31	0.160603911475	0.262521300972	0.0756612067718	0.307373498085	0.193840083802
a13	0.137892257825	0.280441763657	0.0400949592573	0.197705734028	0.343865294601
a31	0.074457157275	0.204127717886	0.0242462257524	0.145536771343	0.551632151534
a46	0.043246953425	0.150148924295	0.0176561905841	0.126854987114	0.662092960511
a8	0.021996644475	0.0747043230983	0.0205571681947	0.198323889038	0.684417976837
</S>	0.0170498217375	0.0605207715491	0.0278662640974	0.247571414519	0.646991738418
