 	ancora	sto	cucinando	e	non	sono	pronto	</S>
a8	0.1697551075	0.155349925	0.144114648	0.05451121	0.04983801	0.08097357	0.12616878	0.219288742
a31	0.262138765833	0.234486228333	0.143399852667	0.0482543486667	0.0476450566667	0.0606222966667	0.080879918	0.122573518667
a37	0.317374538611	0.292257609444	0.127439540889	0.0339776295556	0.0307463222222	0.0398158038889	0.057923514	0.100465036222
a20	0.286481766204	0.245511466481	0.100976360296	0.0236803625185	0.0151472454074	0.0267433552963	0.118851898	0.182607565407
a29	0.202741618735	0.15401318216	0.0515249300987	0.0144566858395	0.00706799890247	0.0215818074321	0.280937302667	0.267676488469
a14	0.128875277578	0.103581617387	0.0246323333662	0.00756440267983	0.00373620503416	0.022924066144	0.400010087556	0.308676022823
a21	0.0893316081927	0.073270630129	0.0138562337887	0.00683545895994	0.00289815491139	0.0253354217147	0.401597982519	0.386874500941
a31	0.196046953731	0.097349921043	0.0136937695962	0.00775090265331	0.0120275842371	0.0249674659049	0.308780084173	0.339383320314
a20	0.21852747991	0.0941744730143	0.0116582474654	0.00594617171777	0.0169938184124	0.034798506635	0.274614618058	0.343286693438
a6	0.0914122953033	0.0418055403381	0.00521704755513	0.00514679440592	0.0108301416041	0.0421116748783	0.296868259353	0.506608247813
a31	0.0674304151011	0.034230179446	0.00581538931838	0.00607285656864	0.016911294668	0.0479952756261	0.306481273118	0.515063325938
a8	0.0479456630337	0.0260230292487	0.00524206637279	0.00451610238955	0.023719540556	0.078413158542	0.443422124373	0.370718338646
a20	0.0177888023779	0.00976882924957	0.00224660909093	0.00363657266318	0.025019705852	0.107404749514	0.572201374791	0.261933409549
a31	0.00981433249263	0.00822348048319	0.00289147433031	0.00709422432106	0.0282679979507	0.117197206505	0.526562358264	0.299948963183
a37	0.00743876313088	0.00893573826106	0.00331788114344	0.00859658800702	0.0373715506502	0.138598738835	0.459674686088	0.336066077728
a31	0.00554460734363	0.00932132518702	0.00625621348115	0.016340517569	0.0622671688834	0.174020749612	0.420626245363	0.305623215909
a24	0.00518161768121	0.00988303989567	0.00850259769372	0.0218480518563	0.0934956529611	0.195979703204	0.406811821788	0.258297575303
a31	0.00560997479374	0.00884143846522	0.0116979427646	0.0274466459521	0.124612367654	0.213769401068	0.368714807263	0.239307475101
a20	0.00707944399791	0.00986717548841	0.0128637647882	0.040141795984	0.131484493885	0.231495140356	0.325081445754	0.241986748367
a31	0.00774697206597	0.00986008182947	0.0126070817961	0.0491930719947	0.135165512628	0.242768933452	0.311065348585	0.231592986122
a7	0.00760016422199	0.00995743260982	0.0125203312654	0.0572734096649	0.139912464209	0.254625384484	0.288372639528	0.229738155374
a35	0.00638910744066	0.00866314773661	0.0147122174218	0.123269605555	0.16816696807	0.239545828161	0.242616089843	0.196637031791
</S>	0.00567227897033	0.0069671061683	0.0203864242109	0.186976602778	0.204854564035	0.218233284081	0.188880474922	0.168029285896
