 	il	vestito	della	sposa	vuole	bianco	</S>
a8	0.283581713	0.143006285	0.0426802555	0.0439437675	0.0772712305	0.12460164	0.28491508
a31	0.402425927667	0.172811405	0.0491540035	0.0512031211667	0.0773855521667	0.107555048	0.139464895
a7	0.466404619222	0.251552345	0.0461120781667	0.0434324460556	0.0550817040556	0.068442288	0.068974475
a31	0.439403683074	0.304271715	0.0719196747222	0.0469831060185	0.0306760013519	0.0444184786667	0.0623272933333
a7	0.298035959358	0.243096986333	0.104357406574	0.0826615936728	0.0248813744506	0.104049114889	0.142917537778
a3	0.183042771453	0.161390223444	0.0949905605247	0.0938990612243	0.0204471431502	0.147403012963	0.298827245926
a31	0.130150370484	0.115809361148	0.0620455175082	0.0656744820748	0.0314909873834	0.204188828988	0.390640475309
a8	0.0907175314947	0.079441583716	0.0437819815027	0.0440592766916	0.0390937204611	0.257838522996	0.445067385103
a31	0.0683921068316	0.057639213572	0.0363293821676	0.0344003465639	0.0453698261537	0.303133720999	0.454735378368
a8	0.0549832639439	0.0482231321907	0.0394604373892	0.029908012188	0.0565057920512	0.352217353666	0.418701989456
a20	0.0467604813146	0.0454350900636	0.0419555724631	0.027374777396	0.0538074120171	0.343233431222	0.441433243152
a31	0.0483005194382	0.0449185806879	0.039338830821	0.0275831357987	0.0719126006724	0.346644343741	0.421302014384
a20	0.0421904711461	0.0472871495626	0.0454414869403	0.0234583172662	0.0954850855575	0.31270709458	0.433430418128
a31	0.0351129937154	0.0502896701875	0.0456643473134	0.0249642377554	0.102914651852	0.292619078193	0.448435019376
a28	0.0327447465718	0.0487870333958	0.0456928441045	0.0286336425851	0.119046857284	0.279277696064	0.445817153125
a11	0.0246608798573	0.0412655281319	0.0475404537015	0.0292358208617	0.161020492428	0.257921662021	0.438355141042
a20	0.0232387946191	0.041356500044	0.0591346202338	0.0402844169539	0.208373910809	0.282526690674	0.345085077014
a24	0.0247111252064	0.0387686956813	0.0591254667446	0.040810505318	0.233897326936	0.337841396891	0.264845502338
a8	0.0209717784021	0.0261120433938	0.0362628645815	0.034878828106	0.257124742312	0.35088960563	0.273760144113
a31	0.0141960648007	0.0176922469646	0.0225585888605	0.0344925980353	0.210822069437	0.322876151877	0.377362268038
a20	0.00929848170023	0.0152584356549	0.0189883906202	0.0277458470118	0.157552541812	0.348815470626	0.422340839346
a31	0.00871890266674	0.0139711032183	0.0158683878734	0.0218173620039	0.157171107271	0.344120003542	0.438333153115
a18	0.0105591628889	0.0138851870728	0.0163871496245	0.0250137013346	0.15627017909	0.308232774514	0.469651841038
a31	0.011742776963	0.0148591246909	0.0157841132082	0.0274286044449	0.175199756363	0.301889228171	0.453096390346
a8	0.00962741308767	0.0140446685636	0.0157583910694	0.0350591621483	0.185863102121	0.31565061939	0.423996646782
</S>	0.00693093219383	0.0113520522818	0.0184480835347	0.0454855910741	0.18777762606	0.336011189695	0.393994533391
