 	la	pasta	vuole	sale	</S>
a8	0.228530505	0.34922731	0.142274605	0.12212537	0.157842115
a31	0.271527225	0.33135479	0.155113368333	0.14973227	0.0922722966667
a28	0.341708751667	0.315178623333	0.136680722778	0.13526139	0.0711704805556
a20	0.376532697222	0.335006234444	0.103809619593	0.0867639376667	0.0978874835185
a31	0.332485792407	0.374604848148	0.100067528531	0.0897949102222	0.103046937839
a11	0.227049910802	0.433692406049	0.113554316177	0.145235616741	0.0804677959463
a18	0.142486712267	0.447900062016	0.140170285392	0.177119968914	0.0923230153154
a15	0.122986366089	0.417670200672	0.158981305131	0.170489016305	0.129873111772
a31	0.0885216570297	0.303538826891	0.113378296377	0.196563288768	0.297997910591
a20	0.0403113400099	0.16544356363	0.0607058921257	0.360158059589	0.37338115353
a6	0.02406537567	0.118661562543	0.0494489940419	0.568010329863	0.23981377451
a20	0.0204539655567	0.0911124875143	0.0398660926806	0.697556086621	0.151011381503
a21	0.0191454641856	0.0600750638381	0.0377140352269	0.69110980554	0.191955633834
a20	0.0174199240619	0.0438459176127	0.041559499409	0.571538861847	0.325635814611
a0	0.012240288354	0.0259151195376	0.0466156484697	0.462411193949	0.452817751537
a31	0.00802360298467	0.0163939851792	0.0555200081566	0.337341661316	0.582720737179
a39	0.00538056759489	0.0112756453264	0.0673319807189	0.323795043772	0.592216765726
a31	0.00480172013163	0.0111643693755	0.0631938782396	0.341584044591	0.579255988575
a35	0.00525928171054	0.0179441917918	0.0806397127465	0.332145704864	0.564011119525
</S>	0.00483575055527	0.0211465428959	0.108675936373	0.363775452432	0.501566344763
