 	tu	quante	bottiglie	hai	rotto	dieci	</S>
a21	0.273980625	0.261655685	0.15663066	0.153125445	0.085822376	0.032470494	0.0363146825
a20	0.281799058333	0.215972805	0.168238006667	0.107824945	0.117047878667	0.0494782153333	0.0596390781667
a35	0.224169596111	0.173495559667	0.151260762222	0.123212048333	0.156207819556	0.0879559834444	0.0836981860556
a20	0.189628058704	0.116591081222	0.112834204074	0.147815542778	0.170416569852	0.178435134481	0.0842793506852
a38	0.190928709568	0.108627207074	0.090929251358	0.148057834259	0.147559499951	0.249504234827	0.0643932455617
a31	0.175460789856	0.121831132358	0.0811229171193	0.186872208086	0.139220919984	0.239112648276	0.0563793875206
a18	0.114701118619	0.100487575453	0.0677773083731	0.191482104029	0.149771133328	0.296976809425	0.0788039615069
a23	0.0694044615397	0.0643811314843	0.045296306791	0.117445117343	0.135884814443	0.319034129808	0.248554057169
a24	0.0826720205132	0.0672798188281	0.0406102419303	0.102111237114	0.0983077681477	0.309720149936	0.299298769056
a37	0.0974096935044	0.0825202296094	0.0497759369768	0.147698439038	0.0830124373826	0.357508969979	0.182074269685
a20	0.0963550845015	0.0762135765365	0.0564708903256	0.199433646346	0.0811714124609	0.334355473326	0.155999899895
a31	0.0961010148338	0.0750870921788	0.0990194667752	0.259547378782	0.076654959487	0.231588811109	0.162001259965
a20	0.0810844709446	0.0654422683929	0.113070272258	0.252458872927	0.0656394764957	0.133588025703	0.288716586655
a33	0.100144846315	0.0428223884643	0.091121874086	0.203413700976	0.0874936388319	0.116478868568	0.358524682218
a31	0.107392034105	0.0309568041548	0.107019451362	0.207886326992	0.133012246277	0.0854316685227	0.328301460739
a20	0.075543361035	0.0297479607183	0.111613805787	0.189448352331	0.111512735426	0.0587500351742	0.42338372358
a31	0.0541111146783	0.0263142749061	0.0778154072623	0.132291737444	0.103174751809	0.0620476597247	0.544245031193
a20	0.0433508262261	0.0239329569687	0.0611496124208	0.111356779148	0.14401168727	0.0809598849082	0.535238243731
a31	0.0377439290754	0.0219846343229	0.0531735731403	0.089115170716	0.123120173423	0.0797304046361	0.595132131244
</S>	0.0285967130377	0.0181001601614	0.0376310300701	0.060586676858	0.0891394782115	0.0603215293181	0.705624440622
