 	e	che	cucino	</S>
a31	0.445554615	0.29939592	0.0848539695	0.170195515
a24	0.477747365	0.302874586667	0.112816711167	0.106561338333
a31	0.464291711667	0.219938432222	0.233150940389	0.082618936111
a11	0.322350760556	0.174305207407	0.397436086796	0.105907972037
a46	0.270939836852	0.158502339136	0.403798862265	0.166758987346
a41	0.319244928951	0.131330946379	0.282978014088	0.266446149115
a20	0.23167270365	0.073324695793	0.207986321363	0.487016309705
a36	0.0972052642167	0.0326963685977	0.204746413788	0.665351953235
a31	0.0431688512056	0.0325707571992	0.232859487929	0.691400884412
a46	0.0173096792019	0.0514169137331	0.245757172643	0.685516228137
</S>	0.010392191601	0.0599093168666	0.249943486322	0.679755014069
