 	dopo	Giovanni	é	tornato	a	casa	</S>
a31	0.1980046375	0.15877823	0.086770933	0.0680308265	0.0509682765	0.247063435	0.190383655
a20	0.1489908475	0.116582973333	0.110979296333	0.0617486688333	0.0365240618333	0.358428331667	0.166745835
a17	0.2220568625	0.167873047778	0.0982533387777	0.0308713742778	0.0254923516111	0.336135733889	0.119317325
a31	0.278017374167	0.221884895926	0.0871787815926	0.0238216560926	0.021381603537	0.251150211296	0.116565495
a39	0.243137024722	0.233609278642	0.103051229198	0.0226372283642	0.015205966379	0.208784627099	0.173574645
a31	0.210966118241	0.236404202881	0.136240409733	0.0286264637881	0.016322613993	0.166042189033	0.205397988333
a20	0.15224056608	0.189312424294	0.133531459911	0.0289384252627	0.016790403131	0.149268989678	0.329917726111
a31	0.126053188693	0.178738844765	0.13172870997	0.0339936857542	0.0212147445103	0.139990034893	0.368280802037
a13	0.107222482898	0.166517230255	0.13464994999	0.0385251082514	0.0250214551701	0.149083346631	0.378980444012
a24	0.072717311966	0.110424908752	0.08673526933	0.0192190951505	0.0155146770567	0.214814145544	0.480574604671
a46	0.0649137649887	0.0908379229173	0.0651273724433	0.00830848555017	0.0111179860189	0.268328325181	0.491366148224
a31	0.11940136833	0.171478737639	0.0739178441478	0.0323334682834	0.0207753940063	0.202307871727	0.379785332741
a20	0.127836242777	0.19333655588	0.0682629880493	0.0438696774278	0.0268852250021	0.144015360576	0.395793960914
a31	0.0984723609257	0.14172191196	0.0551167273498	0.0441785804759	0.044775596334	0.124809701525	0.490925130305
a18	0.0873797593086	0.123831328987	0.0515540411166	0.049785422492	0.061840718778	0.143918755175	0.481689996768
a20	0.0464841787695	0.0904209146623	0.0374689310389	0.0352276188307	0.069560162926	0.230561191725	0.490276992256
a31	0.0353623912565	0.0738893482208	0.0331652126796	0.0408563386102	0.0790849493087	0.199143287242	0.538498457419
a11	0.0301459047522	0.0567457327403	0.0288019105599	0.0441204775367	0.0805381294362	0.170445319081	0.58920251914
a31	0.0214109099174	0.0535582309134	0.0192470776866	0.0438674025122	0.0750566811454	0.173250834694	0.613608873047
a28	0.0174964986391	0.0544077179711	0.0128078060622	0.0503407175041	0.0824605037151	0.186882089898	0.595604677682
a41	0.014610511713	0.039039068657	0.0115162666874	0.0615838105014	0.135304487905	0.219051713299	0.518894122561
a8	0.0114823957377	0.0292156178857	0.0162209525625	0.0992905601671	0.194238285968	0.2176498911	0.431902274187
a33	0.00960690391257	0.0235768562952	0.0180794061875	0.0959864200557	0.180146728656	0.274540137033	0.398063534729
</S>	0.00962697595629	0.0198199136476	0.0159119625938	0.0663547200279	0.143034379328	0.317924848516	0.427327197364
