 	prima	di	andare	alla	scuola	</S>
a7	0.175170705	0.24833048	0.309883785	0.098841058	0.1093988245	0.05837516
a11	0.231744025	0.251141296667	0.299918821667	0.136276432667	0.0459864821667	0.0349329356667
a43	0.239273285	0.233375952222	0.301733533889	0.173566007556	0.0250384190556	0.0270128075556
a20	0.234376281667	0.206336300741	0.293510871296	0.206556292519	0.0303424170185	0.0288778658519
a31	0.171954915889	0.15954994358	0.255362507099	0.224303974173	0.128873939006	0.0599547386173
a20	0.086871803963	0.0988291335267	0.182273142366	0.255478168058	0.248740819669	0.127806929539
a31	0.052345432321	0.0891575621756	0.156148484122	0.251886579353	0.26282749989	0.187634429846
a20	0.0353395167737	0.0814979683919	0.148001501374	0.252273166451	0.241601953297	0.241285883282
a31	0.0503558939246	0.0610064297973	0.104532365458	0.200813844484	0.244683097766	0.338608361094
a20	0.0585908573082	0.0564945279324	0.113743596819	0.147001223828	0.197848969255	0.426320843698
a31	0.0339284407694	0.0340917889775	0.093257518273	0.136542664609	0.180689133085	0.521490494566
</S>	0.0238236188847	0.0211859289888	0.0521104931365	0.0934396123045	0.217846886543	0.591593497283
