 	la	mia	mia	mamma	mio	padre	mia	mamma	e	mio	padre	eh	non	sono	stati	mai	in	Grecia	</S>
a31	0.07423932	0.0739442415	0.09489775	0.0599170635	0.032501732	0.039781989	0.0384960545	0.0330071505	0.04069078	0.0477595485	0.047056751	0.0437001045	0.0716665875	0.040596032	0.020572621	0.022995418	0.03164831	0.070349589	0.11617899
a37	0.0441338333333	0.0392980135	0.045290809	0.0322490275	0.0262687703333	0.0453002516667	0.0527547348333	0.0485708991667	0.0634888233333	0.0771665795	0.079123557	0.0752014931667	0.107360459167	0.0508245966667	0.0190488453333	0.023898399	0.0266456226667	0.070648831	0.0727264513333
a8	0.0323887334444	0.0254963608333	0.0222650466667	0.0210361585	0.0282444341111	0.0445978402222	0.0499939872778	0.0550849197222	0.0870795824444	0.1001253585	0.093082394	0.0919219843889	0.0891276787223	0.0358510512222	0.0154183764444	0.0185238933333	0.0227420005556	0.063203805	0.103816378444
a31	0.0200321664815	0.0172630669444	0.0152185952222	0.0202496375	0.0318801953704	0.0423884010741	0.0467777834259	0.0558836405741	0.0914437341481	0.105868954833	0.0898059696667	0.0892881281296	0.0751723419074	0.0412798850741	0.0172179491481	0.0205738164444	0.0272425405185	0.0648179986667	0.127595224815
a39	0.0137512114938	0.0128947689815	0.0128205940741	0.0203175305	0.0324653381235	0.039103230358	0.0429454298086	0.0518393161914	0.0837561500494	0.100399644944	0.0850079432222	0.0850889260432	0.0835226406358	0.050789358358	0.0190136980494	0.0227133394815	0.0263739138395	0.0525177585556	0.164679240272
a3	0.0117834548313	0.0122446269938	0.0113798450247	0.0191478568333	0.0274922057078	0.0302085724527	0.0313676042695	0.0414309513971	0.0719777083498	0.0885192099813	0.0723476587407	0.0647614273477	0.0684242968786	0.0331760934527	0.0161891033498	0.0170585868272	0.0307610426132	0.0814808461852	0.270248906757
a8	0.0111362666104	0.0120004709979	0.0105225833416	0.0189139529444	0.0269989575693	0.0361262178176	0.0352591550898	0.0455575511324	0.0691216977833	0.0851355499938	0.0611037639136	0.0481936457826	0.0521661956262	0.0217080211509	0.0164327291166	0.0169409929424	0.0447015632044	0.113420592062	0.274560105586
a31	0.0149524382035	0.0161297739993	0.0135984581139	0.0241661216481	0.0382711141898	0.0425775396059	0.0397002240299	0.0494594627108	0.0710751472611	0.0861890966646	0.0617618546379	0.0562364452609	0.0590123485421	0.035558199717	0.0272386487055	0.0310791149808	0.0408375227348	0.084107515354	0.208048988529
a7	0.0142352994012	0.0161199401331	0.0156073343713	0.0261497528827	0.0380879000633	0.0330403935353	0.03193611401	0.0435074139036	0.0767606337537	0.0921669105549	0.0734916648793	0.0593411947536	0.067174064514	0.0480972949057	0.0318100889018	0.0364272716603	0.0309964785783	0.0555475007847	0.209502752843
a27	0.00847020446707	0.0108671531777	0.0130100957904	0.0204996596276	0.0261690573544	0.0247063301784	0.0267140310033	0.0439518933012	0.0796072712512	0.0932707835183	0.0781253082931	0.0493372279179	0.065446289838	0.0369268283019	0.0228700439673	0.0239749545534	0.0361801931928	0.0804904779282	0.259382207614
a31	0.014290081489	0.0188154767259	0.0159178619301	0.0212947042092	0.0261178877848	0.0215757427261	0.0241920643344	0.0440562491004	0.0854892470837	0.0943712911728	0.0839974260977	0.049632712306	0.0636606166127	0.0331451341006	0.0263365263224	0.0257613035178	0.0368649757309	0.0859650126427	0.228515685871
a0	0.0158227678297	0.0209687285753	0.0163523646434	0.0228998377364	0.0313570535949	0.0250424969087	0.0298288794448	0.0544111397001	0.0963552056946	0.0997218037243	0.0943883586992	0.060061355102	0.0668470288709	0.0414913593669	0.0299698637741	0.0304981878393	0.0280782642436	0.0488893135476	0.18701598529
a31	0.0142017502766	0.0179223268584	0.0148438858811	0.0212667585788	0.0312805881983	0.0269999609696	0.0339515208149	0.0638181055667	0.0960645752315	0.0944230012414	0.0948135195664	0.058876965034	0.0668690096236	0.0452600514556	0.034981801258	0.0354444862798	0.0286548364145	0.0471805505159	0.173146285097
