 	l	ho	sentito	che	veniva	</S>
a41	0.236568425	0.10869853	0.129085002	0.086887292	0.225501545	0.21325922
a31	0.318373581667	0.152419323333	0.124044545333	0.112091430667	0.131928985	0.161142123333
a24	0.264032847222	0.168034791111	0.095734959111	0.144133686889	0.172897635	0.155166087778
a15	0.181931345741	0.146548003704	0.0875293357037	0.153506828963	0.214935658333	0.215548822593
a28	0.13731070858	0.127728797901	0.0964044152346	0.133600726321	0.240089556111	0.264865777531
a0	0.10234106286	0.104357263967	0.0872705884115	0.114762543774	0.319591122037	0.27167740251
a31	0.0759278082867	0.0814920426557	0.0710749961372	0.0953080675913	0.333348657346	0.342848420837
a11	0.0608370017622	0.0665359185519	0.0600787137124	0.0877127838638	0.312858065782	0.411977550279
a31	0.0458317222541	0.0654069455173	0.0569467815708	0.0980917066213	0.245702153261	0.488020733426
a39	0.028578047418	0.0578073491724	0.0533817358569	0.122513224207	0.136509999087	0.601209661142
a20	0.017546661306	0.0366562543908	0.0417970119523	0.168220728069	0.0933393613623	0.642439987047
</S>	0.012911358903	0.0254785906954	0.0342601009761	0.196012904035	0.0755239131812	0.655813143523
