 	mia	sorella	quest	anno	che	vienne	studierà	per	medico	</S>
a10	0.150744425	0.11899319	0.14986623	0.0589107665	0.0371421615	0.0528427005	0.054455543	0.055588195	0.0848554825	0.2366013
a31	0.134965466333	0.120475245333	0.13016683	0.0660489765	0.0352255778333	0.0537417001667	0.0548509393333	0.0621147606667	0.1475222925	0.194888206667
a1	0.115464920111	0.0846975037777	0.0843482533333	0.0595398565	0.0218202042778	0.0407079253889	0.0393464024444	0.0541782268889	0.284210830833	0.215685858889
a28	0.103636760037	0.0550898345926	0.0431273261111	0.0319403601667	0.0120940530926	0.025426895463	0.0229155208148	0.0370497412963	0.331527860278	0.337191642963
a24	0.0947339833457	0.0509043395309	0.0291294833704	0.0215068397222	0.0078674993642	0.016400622821	0.0145148189383	0.0268841270988	0.288000036759	0.450058247654
a31	0.107220797782	0.069730676177	0.0425871074568	0.0330682559074	0.0273334034547	0.039158931607	0.0319626343128	0.0523915156996	0.20705344892	0.389493242551
a18	0.087890872594	0.064698257059	0.0430382538189	0.0384123906358	0.0454235411516	0.063524043869	0.0608953164376	0.0773058185665	0.138387516307	0.380424017517
a24	0.0510242575313	0.0382674196863	0.0259129219396	0.0323778088786	0.0379903990505	0.0538371389563	0.0602768121459	0.0765204008555	0.182241352102	0.441551505839
a13	0.0464810425104	0.0358040858954	0.0225655953132	0.0316326882929	0.0299472046835	0.0401077133188	0.050985868382	0.104142824952	0.222721584034	0.41561142528
a18	0.0445022191701	0.0377464432985	0.0211878707711	0.028179901431	0.0267381698945	0.0353565991063	0.057232643794	0.142373138317	0.206710504678	0.399972518427
a31	0.04725673139	0.0393707227662	0.0260718615904	0.026382898477	0.0330881436315	0.0436980817021	0.0590961312647	0.123055332772	0.205925521559	0.396054562809
a24	0.0456700257967	0.0367421955887	0.0277879275301	0.0244015774923	0.0405976885438	0.056386092234	0.0685507604216	0.106523487591	0.203620683853	0.389719557603
a11	0.0368100885989	0.0298493041962	0.0201663238434	0.0172566113308	0.0348675178479	0.0657696457447	0.0952637201405	0.14019075253	0.161079793284	0.398746242534
a31	0.030814037533	0.0238368890654	0.0156293722811	0.0120978456103	0.024874421616	0.0558366539149	0.0818618943802	0.11885143751	0.158557753095	0.477639680845
a39	0.0226933441777	0.0171009030218	0.0125076610937	0.0114830355368	0.0248248425387	0.041449433305	0.0603462224601	0.125971435837	0.249962924365	0.433660203615
a20	0.0194368993926	0.0126857603406	0.00866887693123	0.0095911113456	0.0446725598462	0.0554434761017	0.0726571961534	0.154105135279	0.283827348122	0.338911677872
a31	0.0251623794642	0.0117070531135	0.00900503521041	0.00981486128187	0.0470726122821	0.0542934980339	0.0670293073845	0.109147869426	0.227401936041	0.439365492624
a17	0.0222779541547	0.0093878357045	0.0081228094368	0.00997581342729	0.027549931094	0.041094113678	0.0615350724615	0.104655160809	0.253325912014	0.462075407541
a20	0.0145625867182	0.00677365666817	0.0043489660456	0.00794788114243	0.0304094760313	0.0592426078927	0.0771602274872	0.12974140027	0.277952800671	0.391860365847
a31	0.0188755642394	0.0105183856561	0.00953026654853	0.0126190347141	0.0358854676771	0.0648093372976	0.0910493774957	0.115306753423	0.251903103557	0.389502695282
a24	0.0182622669465	0.0109974750187	0.0117215397495	0.014143226038	0.0281757152257	0.0620761337659	0.122483457499	0.111033144474	0.268342294519	0.352764761761
a20	0.0101787009488	0.00538815113957	0.00571503914983	0.0117323774793	0.0365599740752	0.079430007922	0.1367859625	0.164043288158	0.268044151506	0.28212240392
a8	0.00577282101627	0.00302175111319	0.00359350871661	0.0151891924931	0.0658852790251	0.091517845974	0.132404204167	0.252495132719	0.212331083835	0.217789231307
a20	0.00355798830542	0.0023685577044	0.0040195040722	0.0248902111644	0.0790221310084	0.106891718658	0.139639281389	0.29176134424	0.173303061278	0.174546217102
a31	0.00490512980181	0.0047772548348	0.0072386758574	0.0246222287215	0.0556785086695	0.0958127795527	0.156999773796	0.221455414747	0.197938633759	0.230571605701
a24	0.0059285326006	0.00643719974493	0.00938308861913	0.0166015552405	0.0406112632232	0.0761232898509	0.164644851265	0.154763504916	0.224058661253	0.301448068567
a37	0.0049718843002	0.00513148184831	0.00849748597304	0.0185261820802	0.0483511724077	0.079160481617	0.136053141755	0.169074401639	0.222570107084	0.307663672856
a46	0.00419646280007	0.00415782884944	0.00887388892435	0.0217926903601	0.0593102354692	0.081314280539	0.114673818585	0.224816100546	0.218186105695	0.262678577619
a31	0.00695256953336	0.00673437638315	0.00989538480812	0.0189071577867	0.0502973491564	0.073117218513	0.165813529528	0.198561140182	0.209269945232	0.260451339206
a28	0.0105404325111	0.00927225246105	0.00965359626937	0.0157862079289	0.0450320170521	0.0723775895043	0.223800179843	0.134797776727	0.185431685077	0.293308306402
a24	0.0100813271704	0.00847969002035	0.0100029017565	0.0202905609763	0.0592128573507	0.0803708151681	0.220774486614	0.127367995576	0.169188575026	0.294230808801
a31	0.0104807567235	0.0102872043734	0.0099601525855	0.0199959076588	0.0479306831169	0.0785553737227	0.209129568871	0.115393361859	0.205001511675	0.2932654696
a17	0.0127538825745	0.0127199619578	0.0089212945285	0.0149059212196	0.0494421767056	0.0950258879076	0.226576829624	0.0996181006197	0.202696327225	0.277339616533
a31	0.0148049451915	0.0147822363193	0.0105616231762	0.0154407360732	0.0541973322352	0.102045819303	0.211978819875	0.0958150485399	0.218734782408	0.261638672178
a46	0.0161203140638	0.0157715067731	0.0122226580587	0.0146171293577	0.0653693157451	0.103779449768	0.199413833292	0.102882734513	0.220348238803	0.249474840726
a8	0.0148138380213	0.0135198199244	0.0122005983529	0.0206239411192	0.0813192802484	0.105461253256	0.209527187764	0.130966841504	0.148200880934	0.263366363575
a31	0.0120785793404	0.0117572399748	0.0104791271176	0.0221933460397	0.0596741447495	0.0933779510853	0.197836749255	0.145221200501	0.163106826978	0.284274834525
a8	0.0101105124468	0.0108365299916	0.0102198727059	0.0204607593466	0.0731386695832	0.0957980170284	0.200097089752	0.131644076834	0.164568528993	0.283125934842
</S>	0.0094512682234	0.0103389689958	0.0118761353529	0.0252071436733	0.102384834792	0.100250878514	0.199166164876	0.128129603417	0.128770904496	0.284424082421
