 	questo	muro	vuole	uno	specchio	</S>
a31	0.402502615	0.14445051	0.164773345	0.109480335	0.074819355	0.1039738125
a24	0.413346818333	0.16629816	0.166604411667	0.097248107	0.070280115	0.0862223878333
a31	0.307623219444	0.19709562	0.170692547222	0.0851057676667	0.129156338333	0.110326514611
a41	0.191053552148	0.145141015	0.129675254407	0.0754878725556	0.310706522778	0.147935778204
a39	0.119510603049	0.105018241333	0.116377736802	0.133135047519	0.366236894259	0.159721499401
a43	0.192792861016	0.130143591778	0.138622798934	0.18287937584	0.221950914753	0.133610466467
a24	0.254870673672	0.172062957259	0.167898846311	0.158371471947	0.133345436584	0.113450598822
a37	0.198250897891	0.16815083242	0.177182945437	0.170372797316	0.149105870528	0.136936629607
a20	0.12294152663	0.116544092807	0.138249136812	0.171848479105	0.220930520176	0.229486236536
a41	0.07200508421	0.074881908269	0.0996737629373	0.130550813035	0.292023550059	0.330864912179
a18	0.0472699994033	0.052578831423	0.0691634653124	0.104109957678	0.331689976686	0.395187787393
a31	0.0414407411344	0.050899029141	0.0490116867708	0.083038359226	0.295471158895	0.480139005798
a11	0.0340446100448	0.0458478537137	0.0339314589236	0.0629447684087	0.238304852965	0.584926425266
a31	0.0723708783483	0.0696549665712	0.0405233079745	0.0663068048029	0.213064314322	0.538079718422
a29	0.0885787744494	0.0831280588571	0.0435237829915	0.0948467849343	0.232917734774	0.457004892807
a7	0.0407048915831	0.0487771029524	0.0260105103305	0.0907188306448	0.287744518258	0.506044180936
a31	0.096731968961	0.0339035876508	0.0196249631102	0.0614793012149	0.242344476086	0.545915743645
a37	0.13850945432	0.0453866092169	0.0321052230367	0.0658321210716	0.153851918695	0.564314697882
a31	0.117433172773	0.0432254314056	0.0329023090122	0.0778652373572	0.141328029565	0.587245815961
a20	0.117965657591	0.0309457788019	0.0382950583374	0.0772082941191	0.134965056522	0.600620171987
</S>	0.108166768795	0.033019894401	0.0538688241687	0.0753359570595	0.123338648261	0.606269935993
