 	io	non	ho	niente	da	mangiare	</S>
a8	0.138541727	0.13604083	0.18050841	0.203324985	0.11547553	0.089280063	0.1368284575
a31	0.126950163667	0.129378813333	0.232724433333	0.200581115	0.140745046667	0.086562409	0.0830580308333
a8	0.114627381222	0.125098467778	0.245746931111	0.168620878333	0.167881502222	0.108838544333	0.0691862756111
a20	0.121777923741	0.129717309259	0.240739223704	0.194306609444	0.142754937407	0.102629987444	0.0680739762037
a31	0.158893551247	0.16057302642	0.243151024568	0.232991096481	0.075555420469	0.0661519984813	0.0626838377346
a14	0.173398697082	0.18102638214	0.192832878189	0.22557824216	0.0566376431563	0.0778150128271	0.0927111125782
a31	0.128161933027	0.14420065538	0.15138869273	0.28863017072	0.0595370710521	0.0934297442757	0.134651737526
a13	0.0719264073423	0.0965512397933	0.12553075891	0.318569103573	0.0686680000174	0.157270004759	0.161484512509
a37	0.0418961081141	0.0641517075978	0.09252037297	0.330339401191	0.0764753393391	0.237283961586	0.15733312417
a10	0.0246965473714	0.0404043325326	0.0696057213233	0.380590087064	0.11127666778	0.249552003862	0.12387462139
a20	0.0197368974571	0.0303208898442	0.0556923481078	0.306586605688	0.126007062593	0.348080307954	0.113575863797
a7	0.018282465819	0.0232010712814	0.0406107397026	0.190858768563	0.089050976531	0.488308602651	0.149687361266
a18	0.0133772224063	0.0149400007605	0.0285901765675	0.117166361521	0.0940257045103	0.50218122755	0.229719303755
a44	0.00791461676877	0.00884839348683	0.0217087211892	0.0814061858403	0.117686933503	0.460238822517	0.302196327918
</S>	0.00574170613439	0.00684887809341	0.0189173005946	0.0733759679201	0.120730544751	0.450612491259	0.323773113959
