 	forse	sono	usciti	</S>
a23	0.31757832	0.17098727	0.207750485	0.303683885
a31	0.304007216667	0.209991986667	0.235388808333	0.250611955
a23	0.306163862222	0.199069248889	0.250990316111	0.243776541667
a31	0.358117970741	0.158483362963	0.223073132037	0.260325513889
a10	0.32893149358	0.136887274321	0.267024244012	0.267156987963
a37	0.169728992527	0.13628407144	0.430425028004	0.263561899321
a31	0.102936722176	0.111875247147	0.463698032668	0.321489993107
a37	0.0675649627253	0.101220122382	0.405048177556	0.426166744369
a31	0.0407925322418	0.0897191474607	0.318575019185	0.550913321456
a39	0.0285505607473	0.0819998358202	0.230948833062	0.658500793819
a31	0.0230835429158	0.0760601076067	0.186048791021	0.714807571273
</S>	0.0253531994579	0.0639328373034	0.15884516551	0.751868815636
