 	dovevo	comprare	il	pane	ogni	giorno	</S>
a31	0.3046802	0.153101005	0.1647717925	0.14759064	0.06237451	0.064309673	0.103172142
a28	0.31693986	0.198578361667	0.202176804167	0.13019101	0.05971539	0.0386305573333	0.0537679726667
a11	0.258450383333	0.213794430556	0.207073561389	0.13664151	0.081223508	0.0466505134444	0.0561660568889
a31	0.206545647778	0.191298246852	0.188634073796	0.154568036667	0.094539572	0.0952963611481	0.0691180392963
a37	0.168622712593	0.163340608951	0.162220296599	0.144872732222	0.121492158667	0.154465177049	0.0849862897654
a31	0.184687317531	0.17633210965	0.176594310866	0.145218530741	0.112598447222	0.129873393683	0.0746958719218
a20	0.17801260251	0.168744764883	0.169573363622	0.134862770247	0.0980808134073	0.155362449228	0.0953632043073
a46	0.134883110837	0.131642403294	0.132173664541	0.123651506749	0.143578624469	0.195259507743	0.138811121436
a31	0.189840733612	0.160914337765	0.16791184818	0.133232445583	0.11258090199	0.115616483914	0.119903220479
a20	0.185508411204	0.148856282588	0.158194932727	0.118733543861	0.07542905783	0.146225751305	0.167052016826
a0	0.113289947068	0.102019350863	0.106119402242	0.11268327662	0.11624876261	0.245941763768	0.203697498942
a31	0.134198229023	0.101282921621	0.109892872081	0.0994138778733	0.100714614037	0.194370715923	0.260126812981
a20	0.125702095341	0.086857930207	0.096897706027	0.0725808649578	0.0492361278457	0.167149693308	0.401575604327
a15	0.0953011807803	0.083932985069	0.0896830873423	0.0927276416526	0.0661241259486	0.202166214436	0.370064734776
a31	0.0947849702601	0.073403761023	0.0767560211141	0.0818365035509	0.0685596493162	0.178664528145	0.425994531592
a18	0.07684638142	0.0475044446743	0.0468328657047	0.0374878941836	0.0417016381054	0.187750609382	0.561876143864
a31	0.0527942069733	0.0352000000248	0.0336615161682	0.0225265223945	0.0352534610351	0.221992046461	0.598572241288
a20	0.0342657208244	0.0215420568083	0.0202012696561	0.0141188724648	0.034779835345	0.276033212154	0.599059040429
a18	0.0384079569415	0.0416664869361	0.0490331398854	0.0444135581549	0.039181564115	0.298466977385	0.48883031681
a46	0.0370336123138	0.048790111312	0.0652007672951	0.0693616067183	0.075623582705	0.322010645795	0.38197966227
a8	0.0570663441046	0.040280764104	0.0602578064317	0.0878274462394	0.131551524235	0.297637288598	0.32537881409
a20	0.0874266480349	0.043693468368	0.0744745621439	0.112540778746	0.212008171412	0.194709266199	0.27514708803
a31	0.065103274345	0.0308921504227	0.0560149324813	0.0758253069153	0.187248096137	0.1894047454	0.39551146601
a46	0.025504267115	0.0114164842409	0.0200560372604	0.0282937216384	0.0842170697123	0.280969875133	0.549542512003
a31	0.0155246473717	0.00528580534697	0.00808991332013	0.0127306276795	0.0569501362374	0.328360758378	0.573058097334
a24	0.0149641101239	0.00353030038232	0.00388116530671	0.00797778885983	0.0404314580791	0.361453552793	0.567761615778
a31	0.0190805713746	0.00924076826077	0.00589345840224	0.00779756345328	0.0382261710264	0.388080660931	0.531680791926
</S>	0.0240564726873	0.0154356281304	0.00892756220112	0.00795064072664	0.0463296655132	0.371227595465	0.526072425963
