 	vestito	il	mio	fratello	lo	avevo	portato	fuori	con	me	</S>
a14	0.113621675	0.137022405	0.16448741	0.128882795	0.0751175	0.062270145	0.093034148	0.051277165	0.034835749	0.0573622705	0.082088737
a6	0.101827506333	0.0996953366667	0.101766081667	0.106620214333	0.066408912	0.0531576066667	0.124585489333	0.0799565416667	0.048593218	0.1050456415	0.112343435667
a37	0.085746729111	0.0747367418889	0.0541351355557	0.058349290111	0.044906348	0.0363245528889	0.115884436444	0.0989355772222	0.044667565	0.221756723833	0.164556855222
a24	0.048998052037	0.0448339166296	0.0359379098519	0.039947232037	0.0367000446667	0.0342924626296	0.0856490588147	0.130615919074	0.055839559	0.303986747944	0.183199058407
a28	0.029629919679	0.0275944155432	0.028356731284	0.0480210650123	0.0506342368889	0.0417988535432	0.0668108716049	0.185993849691	0.096388663	0.266605889315	0.158165489469
a31	0.0299639645597	0.0281372681811	0.0330986337613	0.0457156643374	0.0494794242963	0.0451462145144	0.0473796908683	0.18598794323	0.123316074333	0.192804704772	0.218970409823
a46	0.0277001375199	0.0260007250604	0.0294062859204	0.0266021782791	0.0290834469321	0.0315721101715	0.0293563459561	0.157909481077	0.150413141444	0.153813783257	0.338142383274
a8	0.02610854784	0.0234394463535	0.0255635973068	0.023639167593	0.027789140144	0.0197590163905	0.0270174873187	0.158722390359	0.128028280481	0.159325547752	0.380607401091
a31	0.0471167056133	0.0720108887845	0.0339631997689	0.0255662048643	0.029778560048	0.0163928652968	0.0243098021062	0.149634786786	0.11520673016	0.196141929251	0.289878328364
a10	0.0437788752044	0.0840718325948	0.0264769795896	0.0156546321881	0.0175388918827	0.0103911704989	0.0142350890354	0.124364015595	0.212536353387	0.273462376417	0.177489784121
a37	0.0195080939348	0.0386195301983	0.0125801768632	0.00756266472937	0.00990142949423	0.00650179259963	0.0115493526785	0.117107411865	0.317743794462	0.295455352139	0.163470411374
a10	0.0125799891783	0.0250287363994	0.0142897362877	0.00658732467646	0.0116580764981	0.00812797739988	0.0167114092262	0.116973768622	0.347280984821	0.27473193738	0.166030090458
a17	0.0236016873928	0.0461292454665	0.0283161454292	0.0106622512255	0.0205232924994	0.0120813411333	0.0240212487421	0.109929274207	0.31414422494	0.270802459127	0.139788833486
a20	0.0473222904643	0.0823665884888	0.0424900664764	0.0191158960752	0.0327568144998	0.0173820323778	0.0309394732474	0.108836728069	0.26575773498	0.248922409709	0.104109911162
a31	0.0586601714881	0.0830758161629	0.0403999661588	0.0313996216917	0.0461820434999	0.0259826747926	0.0356261044158	0.0844218993563	0.199517884993	0.24261372657	0.152120027054
a20	0.057822125496	0.0603916453876	0.0368558180529	0.0460135462306	0.0619925878333	0.0380665899309	0.0418902234719	0.0721286781188	0.138588704998	0.25845532219	0.187794715685
a31	0.049000411832	0.0425558684625	0.033306970351	0.0577400837435	0.104330322611	0.0494079916436	0.0373706491573	0.0593195923729	0.090618321666	0.235220467397	0.241129301895
a13	0.0329275622773	0.0237709181542	0.0223580484503	0.0830141779145	0.251722904204	0.0785031905479	0.0267721090524	0.0296749454576	0.0492356088887	0.152223872466	0.249796657298
a10	0.0348599600924	0.0223659233847	0.0211493768168	0.116186132638	0.346779328068	0.118376583516	0.0320203230175	0.0370860044859	0.0429018856296	0.089901720822	0.138372754099
a31	0.0330856900308	0.0222290994616	0.0200274596056	0.113896297546	0.286311852689	0.106572202505	0.0351165936725	0.038604942162	0.0543419115432	0.135136843607	0.154677083033
a17	0.0173569335436	0.0116001719539	0.0155540898685	0.118716815849	0.338651767563	0.0979360821683	0.0391026538908	0.0234974783873	0.0465389611811	0.134568601869	0.156476446678
</S>	0.0117074560718	0.00734021467695	0.0137806689342	0.138170282925	0.433580663782	0.116778971084	0.0456904919454	0.0188022086936	0.0319595135905	0.0770284469345	0.105161121839
