 	questo	muro	vuole	uno	specchio	</S>
c	0.9057804	0.070383854	0.0022917509	0.004362453	0.014467359	0.0027140894
ì	0.43604264	0.5638765	6.875854e-05	2.8393467e-06	2.596762e-06	6.6500183e-06
t	0.96955496	0.025723437	0.0033410874	0.00073097117	0.00016255814	0.00048710548
t	0.685073	0.14150824	0.030964382	0.058858503	0.009432091	0.074163824
o	0.82548255	0.053082764	0.005329009	0.020946253	0.028625451	0.06653391
t	0.41620237	0.18855545	0.3944706	0.00047929978	0.00013131912	0.00016103049
ì	0.14107129	0.040703166	0.025421595	0.10582184	0.4424393	0.24454291
c	0.003864216	0.9626155	0.030917281	0.0010428872	0.0012516622	0.0003086206
h	0.10461219	0.5234961	0.29906896	0.02272429	0.012387486	0.037710983
o	0.16563655	0.82365185	0.0077012065	0.00035707818	0.00015460078	0.0024986377
t	0.19905794	0.06128943	0.6759499	0.026571715	0.017604345	0.019526668
è	0.031819098	0.002594484	0.0033834225	0.031418957	0.72910327	0.20168072
l	0.007936472	0.030085366	0.59690815	0.101337336	0.13004702	0.13368572
i	0.053137936	0.023462756	0.108708754	0.19322681	0.3168625	0.30460122
è	0.00014627088	0.0057362667	0.09994991	0.32479155	0.21088544	0.35849053
n	0.005698373	0.0010422135	0.059119172	0.2940443	0.20201641	0.43807957
a	0.018974824	0.013072615	0.06426631	0.7014197	0.12738189	0.0748847
n	0.0005791609	0.00017844395	0.009605458	0.7675556	0.17347278	0.048608582
j	0.016224792	0.0029240658	0.019145338	0.120732136	0.711474	0.12949967
a	0.00022458604	0.00478375	0.005475881	0.5574423	0.3240577	0.10801577
l	0.0004945403	0.00044081698	0.0006589234	0.03734656	0.814434	0.14662518
ì	0.013022071	0.00071220344	0.008103969	0.007833458	0.10964903	0.86067927
</S>	6.263512e-05	5.8200014e-05	6.3039624e-05	0.00069908815	0.6858541	0.313263
