 	che	consuma	poco	benzina	</S>
n	0.9926299	0.0055475514	0.0010552678	0.0003819897	0.00038533573
a	0.95467216	0.042939175	0.00053639885	0.0015494225	0.00030287437
k	0.17126521	0.8213388	0.00732488	5.8240188e-05	1.2888764e-05
o	0.08239955	0.72914475	0.07464283	0.0028748934	0.1109379
n	0.09436024	0.77158827	0.13070291	0.0006214649	0.0027272473
s	0.05741193	0.68330055	0.086479686	0.0011269862	0.17168085
u	0.39577016	0.35652432	0.024746848	0.0070149153	0.21594368
m	0.0072281663	0.48403397	0.48271143	0.0020600508	0.023966413
è	0.057166845	0.3551535	0.56018597	0.0004157852	0.027077904
t	0.009988148	0.06094392	0.9136675	0.010094067	0.00530631
s	0.25523162	0.54103535	0.11093984	0.0019971065	0.09079606
i	0.057418294	0.05494	0.052713584	0.031948328	0.8029798
a	0.0010350764	0.0034300128	0.93417746	0.03330042	0.028057065
l	0.0002438336	0.006608578	0.91204643	0.046554282	0.034546882
ì	0.031460915	0.0852638	0.17516007	0.011211393	0.6969038
o	0.0009403541	0.011847974	0.6797328	0.28383443	0.023644546
b	0.00024487617	0.00096829765	0.01391482	0.94102293	0.043849047
e	0.010528249	0.017706478	0.069960706	0.20978937	0.6920152
n	0.0006889502	0.0002780969	0.006143704	0.8135353	0.17935401
z	0.014790333	0.012640422	0.02447675	0.02076206	0.92733043
ì	0.02487719	0.016120734	0.048594754	0.013507892	0.8968994
n	0.005803414	0.0041244486	0.027244514	0.7459674	0.21686015
a	0.18559112	0.15888953	0.20350003	0.027664326	0.42435503
</S>	0.00026705136	0.00014760767	0.0006060838	0.0929422	0.9060371
