 	pure	che	ti	ho	visto	una	volta	solamente	non	ti	dimentico	mai	</S>
p	0.8407565	0.05043723	0.019954477	0.009040263	0.009659445	0.023265192	0.0039598416	0.021552827	0.011579489	0.0048102625	0.0035582588	0.00038539132	0.0010407413
ù	0.922061	0.025089303	0.037557643	0.0002712847	0.002020535	0.00045876513	0.012304468	0.00021472914	1.1878509e-05	6.1782243e-06	4.096852e-09	8.1379696e-08	4.2105557e-06
r	0.44029003	0.54660845	0.010392564	9.291119e-05	0.0018162882	0.00013770648	0.00048253988	0.00014458875	1.56735e-05	1.8481041e-05	1.1525688e-07	1.1607448e-07	5.351038e-07
u	0.37698826	0.50182813	0.06052698	0.008697894	0.0091577135	0.02804145	0.004357682	0.0059814425	0.0031662853	0.0010404086	1.6286629e-05	1.3827819e-05	0.00018358909
k	0.056405317	0.6713556	0.26120895	0.0020474896	0.005518906	0.0014453019	0.0012114297	0.00076819386	2.1331474e-05	1.71264e-05	5.7481935e-09	1.684732e-08	3.2126118e-07
a	0.0643975	0.13851643	0.49556884	0.14588898	0.12207397	0.0033111447	0.0026456437	0.0027388171	0.0038813858	0.008674724	0.0002307457	0.0023242831	0.009747535
s	0.0073314966	0.4245035	0.53667647	0.017120859	0.0025843084	0.0006957907	0.01087467	7.012141e-05	3.1151638e-05	1.533825e-05	1.317451e-06	4.6451028e-06	9.027704e-05
ì	0.049193792	0.14759728	0.46586654	0.044409968	0.15847234	0.029844929	0.009348502	0.01895304	0.037252404	0.03636444	0.00010859502	0.00048266593	0.0021054717
t	0.0042907293	0.09167236	0.53591245	0.21946587	0.10344578	0.013830989	0.024338555	0.0038359591	0.0016749133	0.0008512042	0.00014181907	0.00013455604	0.0004047535
a	0.075480945	0.10850987	0.34082663	0.070756	0.13200691	0.017503273	0.002595293	0.023568137	0.05410293	0.15759675	0.00065003807	0.002275413	0.014127872
m	0.00089968013	0.007004278	0.31458622	0.5059509	0.14579393	0.009436007	0.0050310367	0.009292869	0.0010915368	0.0007464826	1.4546995e-06	7.2915345e-06	0.00015826874
i	0.008029369	0.017869294	0.09400507	0.23596253	0.62456983	0.003797449	0.004405345	0.0018186568	0.0010926509	0.0020969505	1.9586312e-05	0.000588267	0.0057450444
a	0.00045698354	0.00158445	0.02534603	0.6751452	0.27139947	0.01507833	0.0053495574	0.004166106	0.00075209205	0.00019802462	1.3680303e-06	1.0610402e-05	0.00051180366
f	0.00035106434	0.00036172746	0.019964147	0.04416577	0.65428746	0.09628833	0.0043114233	0.17568065	0.00245051	0.0019268027	2.8775673e-07	2.051808e-06	0.0002096789
o	0.0068733105	0.010389371	0.033447642	0.090741634	0.5315998	0.045023244	0.0031572664	0.10887647	0.03421975	0.06273482	0.0015905685	0.022812162	0.048533965
r	0.00015363617	0.00038132226	0.0063145277	0.13245644	0.25949988	0.19176778	0.007759421	0.3385795	0.027789092	0.0057013724	9.722711e-06	0.00085526897	0.028731992
à	0.011992567	0.01542507	0.033911683	0.0636241	0.45429534	0.062032584	0.0067591337	0.15083076	0.07464421	0.070147835	0.0011065305	0.018671453	0.036558717
s	0.00019558563	0.0004985391	0.0028957336	0.021205258	0.039053597	0.647185	0.047075875	0.22108917	0.018872553	0.0007812156	0.00017724	0.00013321535	0.00083691604
o	0.017812269	0.019541861	0.028646026	0.04894634	0.22051097	0.10040103	0.031977464	0.3106364	0.05978742	0.012710718	0.0005897578	0.02982887	0.11861089
l	4.891987e-05	8.3061524e-05	0.0003296338	0.0029086822	0.0044011953	0.24026984	0.008065423	0.39238557	0.30105537	0.00834406	0.00014891081	0.0027514568	0.039207865
a	0.009400971	0.01031846	0.014109904	0.02160125	0.08146157	0.07960852	0.019484874	0.37312815	0.23817132	0.024697809	0.0030847269	0.053637348	0.071295075
m	5.1336392e-05	7.577916e-05	0.00017262	0.0010817134	0.0008177845	0.09212997	0.0026499338	0.263972	0.5026009	0.032404996	0.00058088463	0.016102474	0.08735959
è	0.004654571	0.005280717	0.007774038	0.014617123	0.060661104	0.07874191	0.013988191	0.46858752	0.30064225	0.02710232	0.0021173863	0.004796295	0.011036629
n	0.0008617244	0.0010963446	0.001608894	0.0036056957	0.0022045895	0.18851416	0.053687934	0.44735745	0.23078038	0.04929485	0.007606338	0.0018384706	0.011543157
t	0.039714374	0.040109042	0.040338863	0.04305268	0.06738144	0.07524747	0.04835334	0.37420377	0.17136644	0.054774832	0.005782608	0.0066727735	0.0330024
e	0.01932866	0.020279514	0.019004604	0.03760334	0.023576764	0.12263355	0.055546798	0.17891736	0.16743386	0.04726902	0.16454472	0.031331778	0.11252996
e	0.00023863015	0.00037690072	0.00030368305	0.0075421133	0.00030067735	0.08866473	0.0033688769	0.23548493	0.30944553	0.10656686	0.026763875	0.04944216	0.17150104
s	9.212614e-05	4.662772e-05	9.855906e-05	2.3998575e-05	0.00015075719	0.0022757612	0.00068711775	0.038695153	0.083124295	0.85449976	0.00084598945	0.00431775	0.015142116
a	0.00024388349	0.00033174164	0.00035357944	0.00037555723	0.00058248657	0.002005888	0.0009824602	0.015954485	0.092839554	0.3746097	0.3248222	0.14825818	0.038640305
l	5.809937e-05	8.7330256e-05	9.6495016e-05	0.00010725283	4.938015e-05	0.003864237	0.00073307153	0.010925468	0.05234696	0.59595996	0.034162104	0.066199526	0.2354101
l	0.0005470573	0.0008108453	0.0008065015	0.0006156825	0.0009465577	0.002249537	0.0008826216	0.01466634	0.052958712	0.23950721	0.38782984	0.25630784	0.0418713
i	0.00022278451	0.00028723988	0.00015081989	0.0009213999	0.00014108096	0.0014817836	0.00018206507	0.0020407585	0.0033312594	0.004660979	0.3536248	0.3430477	0.2899073
m	9.7168064e-05	0.00015478431	0.00012823788	0.00013669663	5.0184637e-05	0.0019069306	0.00069468626	0.0032923066	0.020500038	0.37436563	0.118897095	0.14975317	0.33002317
o	0.0023380113	0.0024354237	0.002535855	0.0026673554	0.003676658	0.0060838815	0.0041181664	0.02723406	0.08699317	0.29099575	0.45937654	0.07617428	0.035370875
n	0.000465134	0.0009098253	0.0007391179	0.00051438896	0.00021364733	0.0022132078	0.0018599968	0.002405562	0.016944971	0.52348	0.2034963	0.12270308	0.12405479
ò	0.005520937	0.006114904	0.0059428536	0.0058140354	0.0061250944	0.008493457	0.007063743	0.017936774	0.037725724	0.17138392	0.4838284	0.18966219	0.054388065
m	0.0028023697	0.003541843	0.0032532122	0.0034141524	0.0019708024	0.020464862	0.059019208	0.010291606	0.03885751	0.084411	0.031593733	0.26663595	0.4737438
