 	vestita	la	figlia	l	avevo	portata	alla	chiesa	</S>
n	0.99214	0.003285627	0.0011842722	0.0018140665	0.00076946913	0.0004470362	0.00018875705	3.5196208e-05	0.00013559134
d	0.6341064	0.36200774	0.0036769693	5.8350684e-05	1.2269404e-05	6.1587625e-06	1.7522994e-05	2.2281356e-05	9.2313676e-05
ì	0.04458862	0.92652315	0.011116295	0.01170614	0.00068737584	6.304428e-05	7.2417715e-05	0.0010341081	0.004208921
s	0.17198025	0.71744734	0.108291544	0.0010960269	0.0005080011	0.00037911336	6.0064278e-05	0.00014479805	9.289523e-05
o	0.03531778	0.8327595	0.008655584	0.015693445	0.048766963	0.0063195745	0.0010563778	0.037341263	0.014089471
n	5.87093e-05	0.9650586	0.03365683	0.0011764368	5.6536073e-06	6.1792693e-06	8.0133293e-07	3.4864846e-05	1.8064362e-06
t	0.00685055	0.8021125	0.062250327	0.0018765362	0.0044840625	0.0010208916	0.0021216783	0.07444451	0.04483898
a	0.0031718276	0.9781781	0.0030407482	0.0014926989	0.00043259555	3.0480733e-05	0.0001025865	0.0036311902	0.009919783
t	0.00049552886	0.78539443	0.20296621	0.010390457	0.00022984557	5.528691e-05	1.9594472e-05	0.00027695915	0.00017163492
i	0.07437264	0.38606426	0.30117753	0.10828341	0.023663908	0.008062519	0.011950463	0.052237652	0.0341877
k	8.959026e-05	0.54841954	0.4031524	0.040813323	0.002277054	0.00072230067	0.00035411815	0.00212028	0.0020514273
i	0.016467236	0.2507584	0.4983822	0.04927905	0.010132813	0.0020536692	0.0036484855	0.10276374	0.066514365
a	0.0002328027	0.100460775	0.84687394	0.025971986	0.0020046057	0.00014225367	4.8969658e-05	0.0061319643	0.018132752
t	4.5069435e-05	0.008823192	0.6562501	0.323371	0.0012650244	0.00015204858	9.297384e-06	0.00976297	0.0003212989
è	0.015096888	0.03707542	0.092869855	0.22133574	0.07558101	0.009725013	0.013213482	0.26727128	0.26783133
r	0.00089505827	0.0026512821	0.7096414	0.25546432	0.02633058	0.0013217599	0.00018314192	0.0026908554	0.00082157017
a	0.02957744	0.063247345	0.17195207	0.21253327	0.0512712	0.0020557086	0.0015779479	0.248741	0.21904404
t	3.35005e-05	0.0004605175	0.006831482	0.824435	0.12645075	0.0042858766	0.0017204097	0.01633244	0.019450115
i	0.007759858	0.012556754	0.030912442	0.31845865	0.17387874	0.00854537	0.006152375	0.22493383	0.21680199
n	3.235801e-05	0.00046776296	0.0019508665	0.48544288	0.32434294	0.040268447	0.021669773	0.022409903	0.103415124
ì	0.0064589917	0.009850458	0.020346003	0.24749942	0.45357653	0.023104455	0.0034694532	0.10268417	0.13301048
c	0.0008149789	0.00054468994	0.0059003304	0.0735497	0.85590285	0.042607307	0.004023562	0.010493398	0.006163123
h	0.003921937	0.0052408795	0.00645142	0.034119524	0.7882705	0.120695695	0.0073329313	0.006051873	0.02791537
a	0.0150949545	0.018695708	0.016813075	0.029486842	0.79757255	0.08330465	0.001334228	0.0054447064	0.03225329
p	0.00023224254	0.0003503622	0.00048471868	0.012815773	0.31705388	0.4555468	0.10996658	0.004908463	0.09864122
à	0.04777309	0.04743286	0.05026958	0.08293299	0.09122934	0.09530279	0.18215269	0.25786763	0.14503904
r	0.0015304299	0.0013138925	0.006355006	0.03552119	0.32638648	0.39268896	0.15684237	0.019897792	0.059463892
o	0.026689004	0.02654475	0.027997177	0.039007816	0.19218439	0.45209143	0.20310219	0.014451828	0.017931325
n	5.9562967e-06	3.261686e-05	1.4272833e-05	0.00034794863	0.0031575018	0.09324377	0.8479298	0.0048360415	0.05043218
t	0.006193549	0.0061241332	0.006666562	0.014269984	0.20094801	0.5140907	0.19540335	0.018146578	0.038157128
a	0.002335862	0.0052682958	0.0024838743	0.0057135727	0.013739812	0.077476904	0.5318667	0.09807144	0.26304352
s	1.371345e-06	9.528413e-06	1.99091e-06	7.3943185e-05	0.0004215931	0.01442331	0.9580849	0.002360053	0.024623482
t	0.009240515	0.0081015	0.008146816	0.011292466	0.019965142	0.0536664	0.4505871	0.3124348	0.12656517
i	0.00013506459	0.0024642972	0.00015752822	0.0012944241	0.0016156256	0.0077560525	0.1948128	0.1340678	0.6576964
n	7.177127e-07	5.0847048e-06	7.6412795e-07	2.5817559e-05	6.299678e-05	0.0038429806	0.9629215	0.0017965746	0.031343505
a	0.0033851957	0.0027099664	0.0026649858	0.0044112913	0.014797338	0.055330943	0.6031042	0.15861721	0.15497892
g	1.0639465e-05	7.3517426e-06	3.3805068e-06	3.938515e-05	9.5536256e-05	0.0029495615	0.9567021	0.0026574156	0.037534602
l	0.0021796671	0.0019876666	0.001991295	0.003221714	0.021933055	0.114577144	0.6348631	0.06324076	0.15600564
i	0.00016223149	0.0010526315	0.00013785751	0.00060108723	0.000926211	0.008519317	0.35007352	0.1239372	0.51458997
s	6.002689e-06	8.223223e-06	2.3201696e-06	2.2082377e-05	3.9144208e-05	0.0008256407	0.7606003	0.00803282	0.2304633
ì	0.0088615175	0.007255908	0.0067463396	0.008182062	0.004278135	0.0065906234	0.1271074	0.44239065	0.38858733
a	0.00017981988	9.1075366e-05	0.00014545866	0.00037518376	0.0005553562	0.0006517218	0.012779957	0.85675794	0.1284635
</S>	4.7593814e-05	3.2154057e-05	2.5495307e-05	5.885291e-05	6.918034e-05	0.00022527536	0.028588418	0.23047705	0.74047595
