 	che	vende	buon	pane	</S>
k	0.9882117	0.008170567	0.001566138	0.0012724977	0.0007791318
a	0.97368324	0.025946796	0.00020533644	1.9899697e-05	0.00014488312
i	0.729086	0.25767675	0.012740543	5.8261772e-05	0.00043860113
p	0.00074819854	0.7907038	0.2076292	0.00028172444	0.0006370523
u	0.018556606	0.35133228	0.08891625	0.21662985	0.32456502
l	0.0022902908	0.6283224	0.16435646	0.02350208	0.1815287
ì	0.097367644	0.54545724	0.040262103	0.09667465	0.22023831
t	0.010434049	0.26676673	0.66969854	0.029016307	0.024084395
s	0.091601476	0.5446821	0.090466216	0.11669625	0.15655395
o	0.009638035	0.039385892	0.01326087	0.09439534	0.84331983
m	4.3442094e-05	0.00091473927	0.060242698	0.55285054	0.38594857
ì	0.083297424	0.19067697	0.22028829	0.46676287	0.038974416
k	0.004753838	0.005730396	0.8234782	0.10667902	0.059358448
a	0.103004806	0.14345838	0.3412584	0.32948244	0.08279594
l	0.00017963692	0.0001910018	0.02577697	0.7466454	0.22720702
ò	0.0035289605	0.0022824088	0.0048285984	0.42405844	0.56530154
</S>	0.000629036	0.00043985128	0.07434325	0.14746858	0.7771193
