 	non	mangiare	la	sera	</S>
m	0.9858467	0.0034506056	0.004755192	0.00063284935	0.0053147427
i	0.95097077	0.036895394	7.023475e-05	0.011292652	0.0007709348
f	0.34895936	0.64768577	0.002502348	0.0006362857	0.00021615563
a	0.08576882	0.51523453	0.2044208	0.084206045	0.11036976
i	0.010401597	0.89948905	0.08472996	0.0027515884	0.0026278473
o	0.0006308714	0.08950135	0.90761095	0.00152083	0.0007361088
v	7.990491e-05	0.002289956	0.9935701	0.003445988	0.00061409175
r	0.002000969	0.007868891	0.24267589	0.7129322	0.03452205
à	0.0038650935	0.008626583	0.12492183	0.03648224	0.8261043
i	0.00569243	0.018604046	0.13521895	0.8247276	0.015756927
</S>	0.0019969959	0.0054465784	0.2851008	0.5935662	0.113889456
