 	la	donna	è	capace	pulire	deve	pulire	la	casa	ogni	giorno	</S>
e	0.8226576	0.13898814	0.008069864	0.005529626	0.005806194	0.0063507603	0.00452518	0.0036344477	0.003540879	0.00029423993	3.1919393e-05	0.0005711434
j	0.870356	0.11421983	0.014187326	0.001222657	1.2504155e-05	5.4693305e-07	2.0819013e-07	6.011443e-08	5.4825796e-07	1.2784676e-07	1.19557e-08	1.4762004e-07
i	0.051352702	0.04167257	0.4521161	0.37276927	0.03006606	0.012062624	0.0016200389	0.0017881783	0.0003503595	0.008045863	0.01984054	0.008315737
n	0.26325566	0.72717446	0.0091835745	0.00037939605	4.9090518e-06	2.599071e-07	1.9686588e-07	1.1204998e-07	6.5633884e-08	9.202068e-08	1.4486123e-07	1.2121022e-06
è	0.06528775	0.2975264	0.5947391	0.004395581	0.0009040666	0.002251415	0.0009800526	0.0022132595	0.00040000008	0.012831991	0.014698722	0.0037716911
k	0.017879704	0.852213	0.114849426	0.00787117	0.0018662363	0.0026383123	0.0008245155	0.00061531377	0.00033559158	0.00037137553	0.00029110815	0.00024414877
a	0.21713892	0.4467615	0.2745879	0.0020155273	0.0004547242	0.0026104536	0.00029354496	0.00052111223	0.00076351553	0.025556866	0.014514896	0.014781116
è	0.000723979	0.1816512	0.81177914	0.0056929616	9.7212185e-05	3.247322e-05	5.3240233e-06	3.9018046e-06	7.297908e-07	3.5692738e-06	2.3258867e-06	7.2495627e-06
n	0.02630951	0.35067272	0.54978603	0.06457221	0.002639689	0.0005827476	0.00067182357	0.00048386081	0.0014640233	0.0024816627	0.00029821147	3.7482314e-05
e	0.041685943	0.14215694	0.6821821	0.08133486	0.0012151025	0.001489153	0.00016030765	0.0002752357	0.0006065769	0.016318362	0.012235015	0.020340415
k	0.00023196732	0.014851756	0.36838222	0.61167264	0.0026180006	0.00051893195	3.774203e-05	1.7946768e-05	7.733235e-06	7.093469e-05	0.0005552414	0.0010348534
a	0.008559769	0.019108692	0.18917958	0.59643495	0.010852315	0.006253697	0.00063704234	0.0014616769	0.0030211038	0.0237503	0.039387625	0.101353236
p	9.663723e-05	0.003302539	0.035279546	0.95305574	0.00621489	0.0007722118	3.248734e-05	1.5935302e-05	6.9698285e-06	3.2203337e-05	0.0001672282	0.0010237284
à	0.016470436	0.020542007	0.052777637	0.5533564	0.15572919	0.058656823	0.0122139845	0.017713776	0.0040247496	0.04795627	0.039477132	0.02108159
c	0.00016240503	0.0011506643	0.0062882733	0.9520261	0.03814423	0.0013524117	0.00031000352	0.00014952284	0.00014399133	0.00013726181	3.939644e-05	9.5797965e-05
e	0.007576252	0.010824329	0.043434173	0.80048114	0.05050199	0.007439023	0.0008917659	0.0013783951	0.0050895996	0.020133508	0.010594472	0.041655306
n	8.493181e-05	0.0007310759	0.003062753	0.65673804	0.31725597	0.015334511	0.00040924895	0.00011578662	9.078564e-05	0.00018345464	0.0007151535	0.0052782963
a	0.006954427	0.008731695	0.02117269	0.57801306	0.28805584	0.018651847	0.0011967254	0.0010022543	0.002741842	0.011488251	0.008643756	0.053347602
p	3.330883e-05	0.00028485025	0.0010422847	0.14891843	0.7709959	0.06358818	0.0027994919	0.0005113036	0.00025963527	0.00033466407	0.00093355606	0.01029847
u	0.008492636	0.008897185	0.012465212	0.16494058	0.509367	0.07849466	0.037775412	0.027548239	0.005612503	0.07504479	0.032813285	0.03854856
l	1.9551077e-05	0.00032552332	0.0010253782	0.030850543	0.77993983	0.1488635	0.01571019	0.0034506102	0.0017118108	0.00081254274	0.0006409962	0.016649557
i	0.0061966707	0.006469678	0.009143873	0.12639967	0.6010586	0.0695548	0.030200146	0.016519949	0.0077314693	0.064588316	0.015316436	0.046820424
z	2.1070035e-05	0.00025901748	0.0006447744	0.012910004	0.65762764	0.20752718	0.07036288	0.01382576	0.0049488274	0.001602127	0.001704673	0.02856604
z	0.005851997	0.0059253625	0.007916733	0.08723455	0.6066145	0.074146576	0.05355539	0.024529934	0.008137593	0.06859899	0.014095958	0.043392528
è	0.011750641	0.098686025	0.066717945	0.036667492	0.20862573	0.13815995	0.14256655	0.09437301	0.012715849	0.026383178	0.006049626	0.15730403
s	0.00041273367	0.0008020942	0.0012140899	0.031283513	0.29008317	0.54989296	0.09185651	0.023513818	0.007056188	0.0024379161	0.00056054373	0.00088647305
s	0.02804274	0.028013976	0.029975735	0.07577361	0.42946428	0.12895957	0.17595145	0.030300241	0.014112074	0.032483798	0.004217099	0.022705387
i	0.020499377	0.062045198	0.043886	0.04635579	0.2198375	0.21672274	0.16110624	0.054626826	0.023446772	0.034626357	0.007006842	0.10984037
è	3.2800337e-05	0.00024587612	0.00036791663	0.00039104433	0.04108836	0.3927818	0.40398473	0.123446666	0.026662381	0.00072267326	0.00055845536	0.009717261
n	0.00069267146	0.0005916738	0.00040103376	0.00370556	0.06087289	0.23945086	0.26005855	0.15270306	0.18426225	0.07233076	0.020095365	0.004835285
a	0.0046688444	0.0043735285	0.0050389916	0.03089858	0.24269027	0.38582602	0.10445202	0.024425337	0.027237598	0.019555606	0.044382054	0.10645112
p	3.1981283e-05	2.9209292e-05	5.4445594e-05	0.00014783102	0.0064814715	0.1527564	0.3352828	0.3572169	0.10178856	0.03696754	0.005394884	0.003847968
u	0.004342848	0.0037991123	0.0041525112	0.0076350556	0.049545683	0.040109582	0.37702757	0.25565237	0.057222877	0.116968915	0.04223046	0.04131298
l	1.1678429e-05	3.5076693e-05	4.4273234e-05	6.0919836e-05	0.0019835238	0.08238718	0.32989678	0.4287322	0.12814216	0.008926832	0.0048248954	0.0149544645
i	0.0033097572	0.0031537109	0.0033777957	0.0060917856	0.03363047	0.039558116	0.41730964	0.2783432	0.0990849	0.06558922	0.029100642	0.021450736
z	1.4891406e-05	4.9015103e-05	5.6855155e-05	4.3716256e-05	0.0010821564	0.05761075	0.23763813	0.45526266	0.19186851	0.013551677	0.01292951	0.029892167
z	0.0034732725	0.0033029222	0.0035057825	0.0056944476	0.026328359	0.03179469	0.38868847	0.2853488	0.101114154	0.07624974	0.051543582	0.022955758
