 	vuole	pianto	</S>
i	0.057865858	0.1713484	0.77078575
t	0.9969919	0.0001273932	0.0028806466
è	0.06730206	0.21242687	0.72027105
l	0.96603715	0.016210124	0.017752644
i	0.22244775	0.56795627	0.20959593
k	0.06852489	0.8283708	0.10310435
l	0.0014405155	0.92514604	0.07341342
a	0.0501039	0.6931398	0.25675625
m	0.0023131834	0.91401106	0.08367575
m	0.002015737	0.8210645	0.17691983
è	0.043061223	0.79896414	0.15797466
n	0.043088336	0.93543804	0.021473544
o	0.04544529	0.56751275	0.387042
</S>	8.983225e-05	0.2887429	0.7111673
