 	dovevo	comprare	il	pane	ogni	giorno	</S>
ì	0.9880164	0.0006968592	0.0019614564	0.0026003567	0.003575455	6.324595e-05	0.0030862426
c	0.98729485	0.0059753787	0.0052379454	0.0010375247	0.00033256135	9.4219824e-05	2.7413153e-05
h	0.607048	0.27776438	0.006814709	0.001593334	0.029108498	0.02435138	0.053319797
a	0.9976991	0.001013294	3.41228e-05	5.3091667e-06	0.00013202624	0.00037248753	0.000743564
n	0.042865966	0.9478607	0.004457871	0.00023753112	0.0011112976	0.0022257846	0.0012408606
a	0.36786568	0.49237427	0.01590397	0.00015996999	0.003056877	0.073076926	0.0475623
v	0.060582392	0.9226539	0.0026910168	7.9534395e-05	0.00069001905	0.0045555243	0.008747617
o	0.024122618	0.26061895	0.5980483	0.009986887	0.007287978	0.0101819085	0.08975337
r	0.044731546	0.777664	0.05994502	0.0037400543	0.009535215	0.031181347	0.07320271
à	0.17686607	0.38241234	0.28189304	0.013114283	0.06263326	0.014213159	0.0688679
s	0.011500025	0.010954372	0.17608799	0.7262832	0.06558519	0.0027478775	0.0068413746
o	0.24572068	0.2863671	0.16052522	0.1843601	0.07319339	0.0074312217	0.0424023
t	0.0008004338	0.038765006	0.44178805	0.47256887	0.016211368	0.0016576217	0.028208595
o	0.06535255	0.09897828	0.46400806	0.29575872	0.052556816	0.00702378	0.0163219
t	0.00014991785	0.0032435558	0.5953706	0.33110672	0.011683974	0.009846416	0.048598845
s	0.017862575	0.030021887	0.32262012	0.50371677	0.07820314	0.011932802	0.03564271
o	0.004765116	0.022041561	0.83811086	0.09378075	0.0007699971	0.0022555275	0.03827619
m	0.00031022832	0.0024997478	0.28084174	0.18866317	0.026747463	0.088537045	0.41240063
ì	0.02803886	0.041734174	0.30128393	0.5275727	0.07658342	0.00736014	0.017426783
k	0.084066555	0.025012333	0.0056642573	0.009780624	0.614847	0.17284131	0.08778794
à	0.42407602	0.15828943	0.037078045	0.024659196	0.3100487	0.025394905	0.02045381
i	0.078764535	0.015283318	0.017499173	0.017578742	0.6565948	0.018966224	0.19531316
m	0.00013197279	0.0005001749	0.0009689987	0.005189969	0.15702954	0.34368673	0.49249256
è	0.003245576	0.0044438005	0.005628226	0.038700256	0.18363932	0.5031365	0.26120633
r	0.01624619	0.0068217264	0.0011115414	0.003037261	0.5327683	0.2098154	0.23019958
i	0.001149806	0.0015949763	0.0012233891	0.0017975401	0.026742471	0.71324176	0.25425005
</S>	1.1875049e-05	3.393815e-05	0.00011798666	0.00014073642	0.002976279	0.019348344	0.97737086
