 	non	ti	dimentichiamo	mai	</S>
e	0.99038213	0.002241005	0.0050965576	0.00054926466	0.0017311282
s	0.32987562	0.6700686	1.6319439e-06	1.2927356e-06	5.2856056e-05
e	0.4898991	0.05232759	0.15834388	0.11755714	0.18187226
a	0.044318732	0.91078347	0.0010540871	0.005603684	0.038239986
l	0.005583043	0.9788189	0.011597596	0.0016141164	0.0023864321
l	0.0025900956	0.007546531	0.92171454	0.050185755	0.017963128
i	0.005345317	0.011008002	0.40254274	0.26497844	0.31612548
m	0.00082567974	0.056372236	0.060065962	0.3868863	0.49584985
o	0.015993204	0.026752636	0.93791014	0.014449847	0.0048941695
n	0.029443162	0.29132196	0.29099098	0.13573705	0.25250688
ù	0.02178878	0.03990205	0.3626058	0.5193333	0.056370057
m	0.04526267	0.16312769	0.15954348	0.3445002	0.28756592
e	0.14150913	0.14688796	0.04365744	0.32312068	0.3448248
m	0.00094478065	0.005152204	0.024419196	0.7447221	0.22476171
à	0.00839652	0.013695338	0.08740434	0.7449884	0.1455154
i	0.013250006	0.029999578	0.022235716	0.67915606	0.25535867
</S>	5.066383e-05	0.00075138564	0.0035099385	0.34444132	0.65124667
