 	questa	canzone	ee	l	ha	scritta	un	poeta	</S>
t	0.7181571	0.030121356	0.064756855	0.050410714	0.08516777	0.009368812	0.013880526	0.014405897	0.013730969
ù	0.99632555	0.00021555774	0.0012593179	0.00075008185	0.0013488964	8.9795085e-06	5.3054613e-05	7.6053307e-06	3.0939107e-05
t	0.9931786	0.0066913245	0.00010210697	2.1673646e-05	5.638046e-06	2.1433706e-07	1.7091e-07	2.6744917e-08	6.40995e-08
t	0.8203108	0.14329611	0.01545449	0.00837084	0.008882633	0.0006215853	0.0020354493	9.604068e-05	0.0009320881
o	0.9984036	0.0003515258	0.0002133782	0.00023556122	0.0005801582	3.4658606e-05	0.00012614265	8.424893e-06	4.6399884e-05
t	0.9179306	0.07599798	0.0052403985	0.0006391577	0.00018343567	2.0764448e-06	6.0406583e-06	1.2425267e-07	2.465772e-07
r	0.3083751	0.55440646	0.06925865	0.021153204	0.03247897	0.0015738484	0.010632633	0.00043816416	0.0016829997
a	0.98484683	0.007194279	0.0008022821	0.00063036615	0.0034378185	0.00020728465	0.0011704181	0.0004577659	0.0012529725
v	0.641958	0.29940894	0.052718747	0.0037724243	0.0020328471	1.9507228e-05	6.589538e-05	2.3941623e-06	2.1214068e-05
ù	0.020269945	0.8296601	0.1254081	0.0068604588	0.002542496	8.507771e-05	0.0097304685	0.0014212998	0.0040221163
d	0.0030450309	0.9284828	0.064292416	0.003740146	0.00027741402	4.7062098e-05	3.6810612e-05	2.1324737e-05	5.7018504e-05
i	0.034145303	0.81063175	0.12574938	0.008207372	0.0010982153	5.247856e-05	0.009395586	0.0018383563	0.008881537
e	0.0060405	0.040211268	0.8914821	0.056564137	0.0030252703	0.00014681858	0.00030839207	4.2484884e-05	0.0021789717
e	0.0009782254	0.006505954	0.48734733	0.493331	0.01137252	0.00012966649	0.00017501188	6.329286e-06	0.00015395574
t	4.19571e-05	0.003925341	0.22496735	0.69070494	0.07848706	0.00096738135	0.00061331084	3.6885962e-05	0.00025579162
o	0.0044648214	0.06706104	0.13571665	0.46578804	0.10634302	0.008842746	0.12992431	0.013772723	0.0680866
n	0.00010673935	0.00052422786	0.050969534	0.6214028	0.26554456	0.032872833	0.012462208	0.007392738	0.008724258
è	0.006296553	0.048909146	0.07948715	0.40435547	0.16806965	0.039087128	0.13887352	0.024121962	0.09079951
g	0.0025503198	0.024164861	0.09369191	0.21746618	0.5510017	0.057167314	0.02515597	0.009514737	0.019286977
r	0.017692078	0.056270555	0.07268446	0.27799776	0.33406693	0.10900265	0.055748485	0.019522164	0.057014897
a	0.034706865	0.03221996	0.051330656	0.11522403	0.2542778	0.3356643	0.039551504	0.0053680423	0.1316568
t	0.00044633332	0.00021176826	0.0020904504	0.010237422	0.2566127	0.4020509	0.08313081	0.12809563	0.11712395
s	0.007420245	0.008837975	0.0101663135	0.019234091	0.041451428	0.7812894	0.052248992	0.06885231	0.010499209
e	0.055129718	0.0042455257	0.007995188	0.013547212	0.048822224	0.0439745	0.039251525	0.52883613	0.258198
è	0.00048196362	3.7381502e-05	0.0005201862	0.0017853058	0.06240354	0.05226786	0.019795608	0.76385427	0.098854
n	0.0015605415	0.0026613446	0.0049842168	0.0052900566	0.03926871	0.063083306	0.5531577	0.2956899	0.03430429
a	0.010590839	0.01876743	0.012503103	0.013903954	0.036202103	0.11419289	0.4979283	0.17991664	0.11599471
p	4.035349e-05	0.00012767495	0.00014507312	0.00018374604	0.0044264896	0.0076634753	0.723558	0.2549263	0.008928811
o	0.0042730053	0.0052105947	0.004445848	0.005107525	0.0070685586	0.073689476	0.035794243	0.80973214	0.054678503
è	1.0248053e-05	5.589476e-06	1.3831594e-05	2.0254198e-05	0.00042001889	0.0005190376	0.018044781	0.9213148	0.059651427
t	0.0007464822	0.0014692128	0.0014232415	0.00083652855	0.0042148144	0.010333734	0.1886854	0.29765072	0.4946399
a	0.00022991038	0.00039405623	0.00030697108	0.0003210988	0.0007694654	0.0063757775	0.032003295	0.8905371	0.06906234
</S>	2.3633007e-05	4.4918495e-05	3.84741e-05	3.396069e-05	0.00025989703	0.00047888802	0.051779058	0.39210123	0.55524
