 	non	ho	dove	d	andare	</S>
e	0.97937965	0.011127763	0.0011323905	0.0039239195	0.0026907935	0.0017455458
n	0.9918257	0.007382434	0.00076014036	1.2196329e-05	5.694388e-06	1.38388095e-05
è	0.06335126	0.011724316	0.00481868	0.13195379	0.4316501	0.3565018
c	0.04020343	0.7055518	0.24599124	0.003333455	0.0030948648	0.0018251346
h	0.008177566	0.15197773	0.80259013	0.017165609	0.011084709	0.0090043
o	0.00985529	0.090274714	0.8820192	0.0019063472	0.008005939	0.007938456
p	0.013710755	0.14541452	0.69993573	0.07650293	0.03880863	0.025627408
u	0.27387118	0.12601991	0.023501948	0.01412091	0.267188	0.29529804
è	2.554507e-05	0.00032177774	0.0030368464	0.75606966	0.21247381	0.028072381
n	0.0034428833	0.0017622056	0.010801492	0.06523399	0.9061612	0.012598308
a	0.006458101	0.016488988	0.034325533	0.089002416	0.79224163	0.06148336
p	0.0010052207	0.0015110866	0.0039998763	0.32131547	0.62730724	0.044861156
à	0.010436812	0.008509801	0.0044161193	0.0049966965	0.9007135	0.070927046
o	0.0005374486	0.000603912	0.0010167668	0.010539581	0.87347543	0.113826886
</S>	2.715174e-05	2.3314768e-05	4.564723e-05	0.0015920715	0.055612095	0.94269973
