 	cosa	fa	Anna	il	sabato	mattina	</S>
t	0.9536548	0.024104536	0.004745453	0.00610493	0.0084526725	0.0010418085	0.0018958382
i	0.87102515	0.09639866	0.011180617	0.01906316	0.0020713652	3.0083538e-05	0.0002310485
k	0.27089694	0.725233	0.0031560555	0.00070987584	3.0412027e-06	7.151685e-08	1.0456458e-06
à	0.099302575	0.3466041	0.4388853	0.07470109	0.009203463	0.0032018546	0.028101576
n	0.03421843	0.9564703	0.008690557	0.00025450328	0.00014630401	5.9781694e-05	0.00016018472
n	0.14319582	0.69903475	0.14348379	0.0020874098	0.0014303994	0.00058059854	0.0101872375
i	0.41956112	0.4385942	0.066081636	0.0014036814	0.0011033504	0.0034050678	0.06985106
e	0.0036326377	0.2914281	0.6996702	0.0050586225	0.00013291254	6.3610346e-06	7.114689e-05
A	0.0007265084	0.163118	0.4227962	0.41212434	0.0008623347	2.937409e-05	0.00034322476
n	0.00076758995	0.013724678	0.819252	0.15546189	0.0067968783	0.00052952295	0.0034674462
n	0.013170779	0.08965765	0.8536261	0.02979571	0.0049176966	0.00036995453	0.008462205
a	0.15313962	0.10052964	0.6339081	0.06755047	0.016259303	0.006226686	0.022386177
o	0.0013798875	0.008986137	0.211707	0.7126839	0.054504614	0.000897226	0.009841145
s	9.615689e-05	0.0004355125	0.0048298505	0.9883001	0.0049447175	0.00023890201	0.0011547595
à	0.0050515123	0.008123634	0.12686706	0.24672271	0.15754642	0.24318238	0.21250622
m	0.00040915058	0.0007573074	0.012658496	0.13448273	0.67938745	0.14510651	0.02719843
b	0.009284703	0.01081101	0.054551627	0.057781477	0.7328583	0.11821773	0.016495097
a	0.07743495	0.07049803	0.07660638	0.091384925	0.5643861	0.016082626	0.10360697
p	0.00064108963	0.0013624928	0.0016378355	0.019902995	0.1912476	0.25091743	0.5342906
o	0.0014120893	0.0014850575	0.0019291156	0.0031187735	0.00454977	0.85402703	0.13347813
r	2.6189177e-06	2.2593767e-05	6.799074e-06	0.0011350085	0.002461885	0.85234827	0.14402278
n	0.0011409748	0.0011785424	0.0015308828	0.0021218678	0.0039384663	0.8528695	0.13721974
ò	0.0010679293	0.0033406913	0.0010866171	0.0053805946	0.0046645836	0.5112106	0.47324905
</S>	0.00052179553	0.0005200191	0.0005725911	0.0018899742	0.009331288	0.04065884	0.94650555
