 	non	ho	cosa	è	da	mangiare	</S>
e	0.98153234	0.0099228	0.0013282492	0.0014237429	0.0036748115	0.0011109958	0.001006928
n	0.98262644	0.01499354	0.0023536677	1.7802491e-05	2.1414667e-06	4.86278e-07	6.0102525e-06
è	0.14361075	0.035058778	0.048036233	0.09325629	0.1986863	0.052200254	0.42915136
c	0.07267869	0.7443175	0.17420179	0.006471029	0.0007988213	0.0007949644	0.0007372784
h	0.016323077	0.30177918	0.60963196	0.05070501	0.0011537968	0.013233822	0.0071731834
o	0.031452246	0.36986247	0.56314325	0.01544615	0.00035875954	0.012524961	0.0072122277
t	0.0050766054	0.050612815	0.7442434	0.18822165	0.00605724	0.002040465	0.0037478495
i	0.14306557	0.0698818	0.0856266	0.012834917	0.028178576	0.30120665	0.35920593
è	7.8527686e-05	0.0015787336	0.035273105	0.52107084	0.34968394	0.05513268	0.037182204
n	0.020566776	0.0066801948	0.12528159	0.52757	0.2946787	0.013228493	0.011994264
a	0.017585296	0.051199585	0.11623166	0.28614834	0.23625647	0.1306668	0.16191183
f	3.863982e-05	5.2729723e-05	0.00060026406	0.0219512	0.9680065	0.005675284	0.0036753998
à	0.014347527	0.013283512	0.020325953	0.02538642	0.11354671	0.77889484	0.034215026
o	0.001525763	0.0014995697	0.005690181	0.03403754	0.3453492	0.49434042	0.117557324
</S>	0.00012508387	6.618416e-05	0.00029921933	0.00097617274	0.027850334	0.15602604	0.81465703
