 	i	bambini	non	possono	mangiare	il	gelato	prima	che	che	mangiano	</S>
t	0.9842678	0.005521476	0.00091564644	0.0045806235	0.00021369664	0.0020146633	0.0021097057	7.341845e-05	0.00016975621	7.880594e-05	8.138985e-06	4.6347508e-05
a	0.5737659	0.39092073	0.003516564	0.0245705	0.00078043493	0.0022624088	0.0041718297	8.316497e-07	2.7081783e-06	2.2245108e-06	3.39528e-07	5.6178856e-06
p	0.0040118587	0.9941678	0.0003222056	0.0014857076	7.374775e-06	3.8333164e-06	1.3228574e-06	1.4683872e-09	1.0263633e-09	8.0153556e-10	7.564436e-10	6.283605e-09
e	0.03944532	0.2064848	0.17911741	0.41758716	0.12519637	0.027007924	0.0048860013	0.00014394787	4.8755275e-05	6.235475e-06	1.8140782e-06	7.420296e-05
d	0.006916314	0.98794335	0.0020367522	0.0030017192	4.9935486e-05	3.7106358e-05	1.4794486e-05	1.3469857e-08	1.9981718e-08	3.3425809e-09	3.4002398e-10	8.337392e-09
ì	0.052941807	0.25675502	0.61388016	0.06140763	0.002025961	0.007031988	0.0026680848	0.0014540821	0.00077281304	0.000483224	1.6330676e-05	0.0005628872
a	0.018719617	0.42790994	0.4494414	0.09784233	0.0017586568	0.0011701903	0.0017617607	0.00045093804	0.00025313874	0.00016435649	5.2695363e-05	0.00047503095
e	0.000518876	0.12114365	0.3141478	0.56162256	0.0014252852	0.00085103407	0.0002894871	6.2003943e-07	3.3539047e-07	4.9453778e-08	1.049465e-08	2.6094466e-07
s	1.8990766e-05	0.001221456	0.044044312	0.94242585	0.008313184	0.0021025033	0.0018644084	8.3892246e-07	2.803801e-07	1.6817185e-07	1.3377138e-07	7.843006e-06
ò	0.014380038	0.033499237	0.44191718	0.30055252	0.08495839	0.05832161	0.037335083	0.012461753	0.008644385	0.0059227496	0.000102041035	0.00190499
z	0.000154095	0.0030277926	0.52039945	0.44179124	0.033766724	0.0005294019	0.0002629936	3.2188906e-05	1.0190377e-05	4.303502e-06	3.0542776e-06	1.8576126e-05
u	0.027582046	0.038239595	0.44512767	0.19698374	0.24382634	0.014508431	0.015421398	0.00047403836	0.0005215832	0.004965369	0.0013322684	0.011017608
n	0.00011489854	0.00057292735	0.011655495	0.2252014	0.7025122	0.039781466	0.018508853	0.00023123095	5.712799e-05	0.000106487976	1.1516286e-05	0.0012463903
e	0.008423718	0.012912906	0.11443016	0.08123152	0.6537334	0.0833446	0.01777851	0.0034837273	0.0003729892	0.0028879836	0.0047569685	0.016643493
f	0.00019721832	0.0006391958	0.0065832986	0.075718254	0.8247552	0.05767685	0.014995654	0.0020939414	6.350946e-05	0.0002527809	7.621382e-05	0.016947893
à	0.024287926	0.026038533	0.04691583	0.047940016	0.51142526	0.15336072	0.027938612	0.092026174	0.021774478	0.03585082	0.0015758213	0.010865802
i	0.0034967759	0.0033105481	0.02431613	0.08811954	0.5189316	0.26531848	0.067333765	0.012479606	0.0053408267	0.0019645423	0.000880834	0.008507333
t	0.0001573279	0.00033110345	0.0005957248	0.0060975873	0.06281532	0.6728777	0.25582218	0.00055418466	0.00010465775	2.759831e-05	1.4662608e-05	0.0006018912
o	0.002487496	0.0026886964	0.0047070016	0.0058004186	0.10933685	0.22302377	0.094733	0.40712693	0.018853992	0.04172388	0.027939439	0.06157857
g	9.3088944e-05	0.00025401104	0.00018475625	0.0030046913	0.01126595	0.69782335	0.26627457	0.006701024	0.0019565667	0.0009405928	0.001045613	0.010455847
e	0.0029242777	0.0032323163	0.0077250353	0.007952867	0.20825328	0.35637298	0.10337181	0.25139648	0.006963902	0.014337758	0.009133241	0.028336005
l	9.794359e-05	0.0001333698	0.0002469054	0.0011455818	0.012413602	0.28986663	0.3106842	0.28767207	0.010762977	0.019256897	0.0011132922	0.06660654
à	0.004210163	0.004288323	0.005080419	0.0053899	0.024162307	0.050676566	0.017821912	0.7431514	0.06217626	0.040907256	0.018145682	0.023989758
o	0.00076843315	0.0007409462	0.0022579918	0.0091455905	0.025682721	0.07738794	0.6991828	0.047192138	0.057302643	0.016460454	0.007848071	0.05603016
p	0.0006337601	0.00083162315	0.0008178178	0.0029696957	0.008879404	0.06380337	0.6619015	0.015406175	0.12306036	0.029352224	0.0019252871	0.0904188
r	0.00045601613	0.00044811558	0.0005088768	0.0006301274	0.0020564925	0.008131395	0.028517066	0.20386808	0.41556814	0.2537874	0.024806686	0.061221525
ì	0.00080174045	0.002011634	0.0008961201	0.0013281413	0.0012391822	0.0086834105	0.00990251	0.020628853	0.143275	0.10797259	0.2945065	0.40875432
t	0.000810224	0.0007418781	0.0015605395	0.004780429	0.009513607	0.013889768	0.22403817	0.01580934	0.13309562	0.1185894	0.045560416	0.4316106
a	0.007911982	0.00782995	0.008084631	0.008354583	0.010970958	0.014593306	0.023240753	0.14708598	0.23231435	0.19616915	0.21234804	0.13109629
k	4.0956358e-05	9.664595e-05	5.5649303e-05	0.00014900211	0.00021106818	0.0021965806	0.029495755	0.0030894645	0.22154097	0.2789138	0.03999817	0.42421198
a	0.0009105862	0.00086800376	0.00093211577	0.0009284636	0.00211954	0.0038851753	0.007270566	0.111250594	0.25572607	0.3823384	0.2005292	0.03324122
n	1.8360277e-05	1.8280814e-05	2.057258e-05	2.1653654e-05	3.807514e-05	0.00014148196	0.0018767703	0.0015748622	0.039800268	0.82044977	0.034702756	0.101337194
a	0.0014614774	0.0013914058	0.0014765791	0.0013616363	0.00192718	0.0023955293	0.002871714	0.028990924	0.12585916	0.30180055	0.496512	0.033951912
f	6.979957e-06	9.665947e-06	9.046746e-06	1.3186218e-05	2.1050328e-05	9.653599e-05	0.0012263826	0.00052714476	0.025517033	0.6443219	0.11985586	0.20839518
à	0.00678183	0.006544474	0.006587979	0.0060576554	0.00702713	0.0077314475	0.005296347	0.032351885	0.13580494	0.2131756	0.19326787	0.3793728
n	8.8676854e-05	8.139525e-05	0.00013934034	0.0003328306	0.0005278395	0.0005910206	0.0067811045	0.00043602323	0.0066327024	0.05453902	0.113941275	0.8159088
e	0.0010807606	0.001039504	0.0010762191	0.0010275285	0.001205395	0.0011933217	0.0016503182	0.004077655	0.012467626	0.05074547	0.8785269	0.0459092
</S>	3.4551904e-05	3.19357e-05	3.209318e-05	2.5075798e-05	3.0657247e-05	3.3935157e-05	0.00014946956	0.0003099528	0.0013130375	0.10175249	0.108640425	0.78764635
