 	deve	essere	bianco	</S>
è	0.9942042	0.0034289856	0.00083378045	0.0015330516
n	0.988863	0.010715688	0.0004196219	1.6717636e-06
a	0.7225608	0.183748	0.08721762	0.0064735287
è	0.016718304	0.9329467	0.041363917	0.008971076
n	0.005806372	0.9350072	0.056494724	0.0026916394
e	0.039889965	0.38697526	0.3825022	0.19063258
à	0.006149604	0.81731355	0.12952977	0.04700709
s	0.0027987158	0.050195966	0.91822076	0.02878453
p	0.011664337	0.021144068	0.2134963	0.7536953
r	8.9347464e-05	0.00054858153	0.039928358	0.9594337
o	0.0019593344	0.0060611395	0.881577	0.11040262
</S>	2.267158e-05	0.00017899608	0.7828528	0.2169455
