 	ha	potuto	entrare	dalla	finestra	</S>
ì	0.98966146	0.00677185	0.00094377744	0.001228331	0.00040722435	0.0009872786
s	0.37008607	0.62979555	9.249955e-05	2.5810274e-05	8.154605e-09	6.98097e-08
o	0.812788	0.08519744	0.04854206	0.05317959	5.23831e-06	0.0002876752
s	0.06868614	0.8961682	0.03028929	0.0047580968	1.0611267e-06	9.7247794e-05
e	0.11902343	0.17078839	0.46156555	0.190965	0.0027672811	0.05489026
è	0.00089314714	0.28951466	0.6095183	0.08575947	0.00042421347	0.013890237
m	0.0026169296	0.043011922	0.89562047	0.05868645	1.1258194e-05	5.3109314e-05
b	0.018539393	0.038969528	0.5427161	0.3020504	0.0060897847	0.09163483
i	0.07894155	0.18944179	0.22485566	0.42088178	0.024305953	0.06157333
à	0.0033611255	0.023391835	0.20876941	0.6292604	0.0031915116	0.13202575
t	0.002282799	0.0069429777	0.08801927	0.8980144	0.00096472976	0.0037756867
t	0.0031977198	0.0034838866	0.008112444	0.031231755	0.8793915	0.074582644
i	0.001310656	0.013340493	0.007034855	0.031619135	0.67124146	0.27545345
f	4.719517e-05	0.0024748591	0.0065835943	0.48135108	0.29095855	0.21858476
i	0.0020969233	0.002229674	0.0035396367	0.007737359	0.9169329	0.06746356
n	0.00012131731	0.002012217	0.0023936413	0.3608515	0.28496173	0.34965956
è	0.00012137497	0.00012897351	0.00027666456	0.0022145687	0.9640767	0.033181664
s	0.00043159074	0.0008902735	0.004493911	0.05633534	0.62569106	0.31215784
t	0.00019553387	0.00020695216	0.0002211161	0.00067793875	0.87955767	0.11914081
r	4.851706e-05	0.0001585698	8.995444e-05	0.00025242823	0.39912134	0.60032916
a	3.525261e-05	0.00014074914	7.2272844e-05	0.00021597088	0.38726512	0.6122707
</S>	6.77919e-06	3.4660876e-05	1.9201376e-05	0.00042554212	0.06759417	0.9319197
