 	le	buone	canzoni	si	scrivono	alla	notte	</S>
t	0.9631663	0.02646811	0.0008336598	0.0059841634	0.0017886575	0.0010685275	0.00015225577	0.00053831
a	0.83598346	0.1583863	0.0014036002	0.0022798795	0.0016915365	0.00021421406	1.137154e-06	3.982892e-05
k	0.23366213	0.7621155	0.004165746	3.6581936e-05	1.9508208e-05	1.8660096e-07	2.1733431e-08	3.9992526e-07
à	0.27387375	0.21212809	0.46351728	0.009126099	0.033297356	0.002709542	0.00018135461	0.005166529
j	0.04721157	0.9444363	0.008088012	4.4486587e-05	0.00018177179	1.553664e-05	2.376779e-06	1.9880308e-05
o	0.020795787	0.94800746	0.02831677	9.564355e-05	0.00045839252	0.0001701092	0.00032083277	0.0018349993
t	0.0061863647	0.9443895	0.0489805	9.633272e-05	0.00021589085	2.1101698e-05	3.2621463e-06	0.00010707255
r	0.074891984	0.06580796	0.8145295	0.0063839476	0.021184565	0.0078540705	0.0008330557	0.008514934
a	0.0974207	0.48575285	0.22631189	0.054510422	0.013467551	0.050438594	0.014443993	0.05765397
v	0.0023420777	0.39824528	0.5344364	0.05127823	0.012429343	0.0012227852	1.0564133e-06	4.481163e-05
ù	0.003707462	0.018125879	0.96366084	0.0024393562	0.004687051	0.0010025036	0.0017212261	0.0046556015
d	0.003144175	0.15905811	0.7696849	0.043765806	0.022083387	0.00041818173	0.00030261427	0.0015428925
i	0.009299713	0.01705816	0.9629501	0.0038496703	0.0017034711	0.00017362316	0.00074721273	0.0042179753
a	0.00047329895	0.061633322	0.22930786	0.5185121	0.18141752	0.0007234136	2.4443376e-05	0.007907957
i	0.00055674696	0.017335076	0.09332128	0.75081825	0.13309187	0.0039477805	5.4971963e-05	0.00087400177
g	5.7862333e-05	0.00062027306	0.02403724	0.7401722	0.21933225	0.015515192	3.470328e-05	0.00023025145
r	0.0024934518	0.004993542	0.39041623	0.33180442	0.09626709	0.006094584	0.056485906	0.11144475
à	0.004233022	0.043615304	0.029800685	0.3101182	0.031147726	0.008010508	0.1066609	0.4664136
f	0.0006289567	0.0016828488	0.014342447	0.081218965	0.891768	0.005478426	0.0011404117	0.00373999
u	0.04548782	0.047882907	0.16326988	0.31806988	0.25707155	0.05442073	0.08432223	0.029475085
t	0.00013843794	0.0016235185	0.0005657934	0.13717826	0.1881645	0.33727753	0.020201884	0.31485006
t	0.021490717	0.022323752	0.074226275	0.2569523	0.13131495	0.28305417	0.15844706	0.05219079
e	0.0027140533	0.031210124	0.0024097345	0.02364931	0.006114615	0.013093838	0.41530818	0.50550014
a	6.5111184e-05	0.0010601796	7.351851e-05	0.0123788025	0.010784788	0.9127792	0.014873614	0.047984876
t	8.183233e-05	0.00030919182	0.00027463477	0.007538518	0.01348607	0.91477424	0.042164154	0.0213714
s	0.00088114553	0.0007728765	0.009640276	0.064112596	0.018588953	0.8565793	0.026261104	0.023163764
è	4.836044e-05	0.00021761745	4.7000525e-05	0.00036242467	0.00024603284	0.010118254	0.56468236	0.42427805
n	0.0010360229	0.0009907691	0.0017863275	0.0067227604	0.029526157	0.3702377	0.41420254	0.17549774
ì	0.0060247355	0.0057800016	0.007007409	0.010035396	0.011340441	0.12914245	0.7738186	0.056850903
t	0.0030628592	0.0024906772	0.0028642565	0.00462554	0.01426069	0.19054896	0.5392938	0.24285322
t	0.0010201065	0.001033695	0.0010548852	0.0013714536	0.0013817087	0.016122451	0.8300363	0.14797948
a	8.834497e-05	0.00048137823	7.199732e-05	0.00022706667	0.00023708155	0.0060872836	0.8512225	0.14158428
</S>	4.8191487e-05	0.000107729444	3.1805608e-05	0.00011341597	8.5564345e-05	0.04370143	0.28061798	0.6752939
