 	l	ha	scritta	</S>
t	0.9220357	0.013242828	0.012647691	0.052073758
o	0.9215688	0.06342205	0.0009569324	0.014052105
è	0.18920177	0.80813587	0.00045631616	0.0022060233
g	0.0035823165	0.99614954	3.6865473e-05	0.00023131192
r	0.019098466	0.09077116	0.5551207	0.33500963
a	0.03197616	0.11577848	0.024040744	0.82820463
t	0.01493906	0.7311374	0.10102868	0.15289488
s	0.09318884	0.058729645	0.70683277	0.14124867
e	0.022332707	0.05908091	0.40179905	0.51678735
</S>	2.6158745e-05	0.0012804072	0.9602863	0.038407054
