 	ho	messo	uno	specchio	sul	muro	</S>
è	0.9406803	0.033941552	0.0023860445	0.0010198622	0.008674118	0.011954191	0.0013439009
v	0.12299042	0.87666136	0.00025170058	1.831392e-05	3.587662e-05	3.0647418e-05	1.1783987e-05
a	0.5778481	0.40482238	0.016408766	0.00067084533	3.9260645e-05	6.8777474e-05	0.00014181783
l	0.008091879	0.9434859	0.047278244	0.00066673197	4.1433577e-05	2.5318855e-05	0.00041043427
a	0.01946984	0.31644523	0.47283193	0.16426194	0.006656308	0.0005174936	0.019817365
è	0.002256302	0.10741552	0.88058376	0.008584488	0.00029270325	9.595197e-05	0.0007713366
n	0.010362872	0.60392916	0.30987656	0.03381755	0.023276882	0.003345576	0.015391357
a	0.037230674	0.18468042	0.54208297	0.21179792	0.004017185	0.00015517173	0.020035738
n	0.00032770648	0.0037037372	0.74370944	0.21353158	0.007920128	0.0006157009	0.030191725
j	0.0126111675	0.035540406	0.18919647	0.6238214	0.10999614	0.00036671935	0.028467791
a	0.0027498046	0.004612528	0.38691744	0.58314604	0.0027068036	4.2430398e-05	0.01982488
l	0.0012130077	0.0009093794	0.30051008	0.6161746	0.07248159	0.0006591746	0.008052253
ì	0.053882282	0.06642681	0.0921793	0.10073162	0.044729576	0.18994258	0.45210785
s	0.0009263783	0.0014690236	0.028168747	0.16457486	0.12042421	0.5911291	0.09330766
t	0.091763645	0.10187743	0.1242774	0.34755594	0.16578484	0.015281111	0.15345965
o	0.006121829	0.0015207282	0.1027179	0.11667113	0.7472862	0.00058222265	0.025099974
t	0.0003319643	0.00014668709	0.01647647	0.07942832	0.841291	0.0010557442	0.061269782
ì	0.011805958	0.014974792	0.017122768	0.016975068	0.060737018	0.2526506	0.6257338
c	0.00018070487	0.0002340072	0.000778616	0.0013454112	0.016950512	0.5858807	0.39463007
h	0.0005711198	0.0005881629	0.0008527951	0.0044826614	0.015522638	0.9518849	0.02609767
o	0.01726935	0.015551453	0.02446824	0.054766968	0.21554899	0.4686764	0.2037187
</S>	0.0035043769	0.0037510574	0.0035422412	0.001885386	0.005395993	0.066497646	0.91542333
