 	vuole	pianto	</S>
e	0.057865858	0.1713484	0.77078575
t	0.99679416	0.00013350692	0.0030722516
è	0.06653834	0.20900382	0.7244578
l	0.966825	0.015876189	0.017298795
i	0.23250288	0.55593216	0.21156497
k	0.07283987	0.82248956	0.104670584
l	0.001461885	0.92546546	0.07307262
a	0.050763506	0.69108087	0.25815558
m	0.0023315887	0.91422474	0.08344367
m	0.002010093	0.82270193	0.17528793
è	0.042769264	0.8017915	0.15543923
n	0.04341167	0.9350555	0.0215328
o	0.04567548	0.56893444	0.3853901
</S>	9.021588e-05	0.2905088	0.70940095
