 	non	sono	andati	</S>
e	0.9295625	0.023964472	0.012439916	0.03403317
n	0.9980153	0.0018276228	8.715056e-06	0.00014838339
è	0.075756386	0.01041189	0.42289138	0.49094027
c	0.059913646	0.8647898	0.030121002	0.04517548
h	0.014934162	0.51396614	0.36768514	0.10341456
u	0.015135409	0.17918423	0.518823	0.28685734
n	0.0084727425	0.8771158	0.081561334	0.032850157
e	0.049460437	0.0931803	0.83594775	0.021411518
p	0.00078876835	0.085870184	0.66443837	0.24890266
a	0.0071682753	0.0072289864	0.94130766	0.04429514
m	1.2972092e-05	0.0044623367	0.52314645	0.47237828
è	0.0023544275	0.0056916187	0.88556325	0.1063907
n	0.0032918272	0.015487296	0.8934062	0.08781467
a	0.021610202	0.023605991	0.8769268	0.07785703
</S>	4.4410404e-05	0.0009837294	0.1345727	0.86439914
