 	si	è	rotta	la	coppa	</S>
e	0.9887715	0.001621503	0.0008764287	0.0025516297	0.0050435564	0.0011352164
g	0.90682554	0.09250895	4.4491546e-05	0.00014277814	0.0002005067	0.0002775804
l	0.015818601	0.022760175	0.067977235	0.038262073	0.5393654	0.31581646
à	0.02593013	0.2985333	0.4018011	0.058557767	0.027497243	0.18768041
s	0.050656	0.5911221	0.1989374	0.04482122	0.08918541	0.025277806
t	0.13616665	0.21046525	0.51484734	0.045496654	0.012440365	0.08058373
i	0.014582353	0.028948737	0.16472906	0.014825254	0.023586122	0.7533285
e	0.001960852	0.10889613	0.501169	0.33366975	3.9138202e-05	0.054265182
c	9.305428e-05	0.0027240145	0.31856814	0.12707897	0.16941331	0.3821225
ò	0.0039779604	0.0074037383	0.2541555	0.08934963	0.5676465	0.077466674
p	0.00030855875	0.0072168997	0.07220683	0.75735027	0.15939322	0.0035240971
p	0.004734262	0.0060771415	0.04880395	0.11546173	0.79418975	0.030733129
a	6.514503e-05	8.240021e-05	0.00047695523	0.0017765963	0.93795794	0.05964102
</S>	4.693025e-05	0.00010311013	0.00072211464	0.020621525	0.013793345	0.96471304
