 	non	mi	aspetti	non	vengo	</S>
m	0.85966116	0.0742936	0.010387654	0.02322973	0.0028290346	0.029598746
ì	0.74083847	0.25543424	0.0003189488	6.193645e-05	2.7188244e-05	0.0033193321
m	0.19029841	0.69747746	0.10379527	0.00605582	0.00038121614	0.0019917297
e	0.015892807	0.707228	0.22360365	0.007879261	0.0044590696	0.040937178
m	0.11307236	0.85608566	0.022214003	0.005698685	4.938877e-05	0.0028799863
ì	0.0075955996	0.07349344	0.6490975	0.037772927	0.060919333	0.17112118
n	0.24508898	0.30982873	0.23532592	0.20710845	0.00044834122	0.002199586
i	0.105123155	0.3786488	0.30455142	0.08725236	0.031860523	0.09256367
e	0.013782083	0.042701114	0.086625464	0.80516976	0.006752249	0.044969317
n	0.00072229555	0.00036868334	0.052152216	0.8762587	0.01931405	0.051184174
è	0.0017727147	0.0032115579	0.01880354	0.1466331	0.7827278	0.04685127
r	0.015620055	0.025508648	0.007918483	0.64109653	0.12871046	0.18114579
k	0.0026362515	0.0027041014	0.0037996108	0.011004686	0.9652601	0.014595334
o	0.06861153	0.08558291	0.030210532	0.097967066	0.26970667	0.44792128
m	0.00262048	0.0028653117	0.0011187001	0.16070023	0.2749422	0.55775315
e	0.0026102676	0.0032507556	0.0038586066	0.011005495	0.7766559	0.20261896
</S>	0.0002883831	0.00029956797	0.00015534226	0.028729606	0.083109446	0.8874176
