 	io	non	so	cosa	è	da	scrivere	</S>
e	0.96180356	0.010909512	0.0044325907	0.00487979	0.0077350545	0.0060417587	3.837966e-05	0.004159352
v	0.9283635	0.07135266	0.00025695274	2.6408441e-05	2.818914e-07	1.4489446e-08	5.739142e-08	1.5916312e-07
ò	0.30696607	0.5266599	0.08285005	0.021604545	0.034902364	0.006871724	0.017053066	0.0030923393
e	0.5591587	0.38852632	0.041352533	0.0051868614	0.0043341178	0.000876027	8.4341664e-05	0.00048111484
n	0.005392736	0.93516636	0.054247245	0.004977632	0.00020823847	4.6206555e-06	2.5629824e-06	6.030751e-07
e	0.04099029	0.44054195	0.18554386	0.031404078	0.07666171	0.033948697	0.10492778	0.085981674
s	0.0011666602	0.182207	0.72967964	0.07788993	0.0067214123	0.0014589834	6.2125975e-05	0.0008142234
s	0.031073382	0.10998407	0.6269823	0.045250375	0.038210727	0.051888287	0.057609778	0.039001103
è	0.00708091	0.014231858	0.059585545	0.00930483	0.02381352	0.14429547	0.27463424	0.46705362
r	0.033826087	0.17935918	0.1790799	0.42276484	0.14553915	0.028445426	0.001124923	0.009860457
o	0.22906506	0.26411545	0.31366017	0.051452503	0.0119447475	0.04341388	0.007412618	0.07893551
t	0.0002496677	0.0024887053	0.15445666	0.68297493	0.117803454	0.02339478	8.8876885e-05	0.018542966
i	0.04688413	0.06147643	0.236637	0.25116697	0.16176055	0.13415636	0.012634292	0.09528423
e	0.00033604633	0.0018791805	0.06839715	0.52475584	0.2847261	0.09550564	0.0007403253	0.023659704
n	0.00033360042	0.0018069783	0.18503167	0.5823371	0.14627588	0.06785164	0.0031035326	0.013259601
a	0.0066245194	0.011270068	0.095924295	0.095319465	0.0556178	0.646639	0.03285512	0.055749822
g	6.684702e-06	7.094819e-05	0.003584534	0.049108095	0.45966148	0.48626247	0.00048880477	0.000816983
r	0.0028773856	0.0043977	0.024093864	0.04155073	0.13287309	0.33618513	0.41942003	0.03860206
à	0.004157701	0.005484456	0.009514437	0.015908305	0.027674824	0.13696969	0.12760696	0.6726836
s	0.0031660448	0.0065405667	0.012320241	0.06648101	0.101511225	0.753654	0.035826568	0.020500325
s	0.0076906905	0.008129335	0.010064692	0.012135058	0.022766106	0.10548119	0.8255342	0.0081986785
o	0.010523657	0.0114289215	0.013773815	0.022541689	0.08467631	0.17647044	0.16867478	0.5119104
</S>	9.159322e-05	0.0001797851	0.0006129529	0.0030992369	0.016793411	0.32723296	0.0012989355	0.65069103
