 	dovevo	comprare	il	pane	ogni	giorno	</S>
ì	0.9880164	0.0006968592	0.0019614564	0.0026003567	0.003575455	6.324595e-05	0.0030862426
c	0.98729485	0.0059753787	0.0052379454	0.0010375247	0.00033256135	9.4219824e-05	2.7413153e-05
h	0.607048	0.27776438	0.006814709	0.001593334	0.029108498	0.02435138	0.053319797
a	0.9976991	0.001013294	3.41228e-05	5.3091667e-06	0.00013202624	0.00037248753	0.000743564
n	0.042865966	0.9478607	0.004457871	0.00023753112	0.0011112976	0.0022257846	0.0012408606
a	0.36786568	0.49237427	0.01590397	0.00015996999	0.003056877	0.073076926	0.0475623
v	0.060582392	0.9226539	0.0026910168	7.9534395e-05	0.00069001905	0.0045555243	0.008747617
o	0.024122618	0.26061895	0.5980483	0.009986887	0.007287978	0.0101819085	0.08975337
r	0.044731546	0.777664	0.05994502	0.0037400543	0.009535215	0.031181347	0.07320271
à	0.17686607	0.38241234	0.28189304	0.013114283	0.06263326	0.014213159	0.0688679
s	0.011500025	0.010954372	0.17608799	0.7262832	0.06558519	0.0027478775	0.0068413746
o	0.24572068	0.2863671	0.16052522	0.1843601	0.07319339	0.0074312217	0.0424023
o	0.0008004338	0.038765006	0.44178805	0.47256887	0.016211368	0.0016576217	0.028208595
t	0.00010670749	0.0023979975	0.5322363	0.4166092	0.041123655	0.004272981	0.003253197
s	0.002959926	0.010148092	0.37466657	0.36648515	0.11203012	0.032164168	0.101545975
o	0.0031890238	0.018659662	0.76838076	0.114290565	0.0010410055	0.0077191163	0.08671977
m	0.00018666369	0.0026177026	0.31990054	0.1879483	0.024335822	0.12362174	0.34138918
ì	0.026725896	0.041967355	0.35967568	0.4694132	0.07324722	0.00578015	0.023190519
k	0.073911026	0.027901776	0.0052632377	0.010083818	0.594366	0.19129522	0.09717895
u	0.5027724	0.16866161	0.033540335	0.018184697	0.23754315	0.021827444	0.017470308
à	0.0018092664	0.0038282287	0.031781517	0.06736612	0.5359798	0.031329773	0.3279053
i	0.0035818075	0.002242312	0.00072721066	0.00619282	0.622613	0.1857257	0.1789171
m	0.00023060199	0.0016825336	0.000884035	0.0052929767	0.315062	0.50763273	0.16921519
è	0.0035153127	0.004439991	0.0036470941	0.027062768	0.14059864	0.4459112	0.37482494
r	0.00899659	0.0072377273	0.00070427236	0.0018582181	0.43924502	0.32262042	0.21933773
i	0.0016114152	0.0019802165	0.0017747999	0.002051242	0.015687201	0.7255883	0.25130677
</S>	9.26877e-06	3.6636502e-05	0.00012576557	0.00013478477	0.0030276424	0.019095002	0.9775709
