 	non	aveva	cosa	a	fare	</S>
e	0.9278747	0.053710252	0.001100785	0.012406682	0.0008541006	0.004053302
n	0.9963858	0.0024846795	0.0010548321	5.328085e-06	1.7399867e-05	5.1851384e-05
ì	0.16547522	0.008141399	0.0905993	0.3335498	0.024955904	0.37727845
c	0.015626444	0.93320656	0.049144696	0.0006712695	0.00032040343	0.0010306721
h	0.004672495	0.5165809	0.44660798	0.005269122	0.016951302	0.009918227
e	0.007835834	0.52978367	0.38778138	0.0008782684	0.06352779	0.010192978
t	0.007505588	0.07065263	0.81359345	0.0854035	0.008096822	0.014748052
i	0.16125025	0.015867181	0.14330298	0.03272608	0.17138661	0.47546694
k	3.4382538e-05	0.00021609783	0.003986535	0.9762817	0.0021203991	0.017360969
à	0.0046963757	0.008475461	0.03976342	0.11675068	0.7677452	0.062568896
m	0.026620647	0.010869306	0.026716236	0.10157324	0.5574029	0.27681768
i	0.015250336	0.021144824	0.028570965	0.022127708	0.8977895	0.015116685
</S>	0.00020056857	0.00010026665	0.00018953808	0.015567445	0.10844952	0.87549263
