 	mi	si	gonfiò	il	dito	</S>
m	0.9938747	0.003915462	0.00041840493	0.00061388355	0.0010441276	0.0001334301
u	0.9445558	0.037715334	0.011234306	0.0041590133	0.0012910627	0.0010444212
p	0.21607088	0.51384115	0.25439566	0.0154026775	0.0001861294	0.000103528466
r	0.016588354	0.26657295	0.5975919	0.11521927	0.0018132301	0.0022143216
ì	0.1464498	0.13538976	0.35243398	0.1416295	0.059410486	0.16468647
s	0.0034798582	0.05515954	0.71205807	0.2214891	0.0016915853	0.0061218287
t	0.024764348	0.13030773	0.7139982	0.10365356	0.0017636226	0.02551254
i	0.010224827	0.035916835	0.15503833	0.048529267	0.105265506	0.6450253
t	0.00011077029	0.0039384128	0.07790116	0.9074852	0.010116311	0.00044818738
o	0.055362273	0.11909955	0.38785717	0.2888429	0.08955213	0.05928593
d	7.514217e-06	0.00044732637	0.02596458	0.9239126	0.04719363	0.0024742954
à	0.030351562	0.061650332	0.35703534	0.49263242	0.031324863	0.027005473
t	0.002306854	0.0022791608	0.102444	0.74274594	0.14456981	0.0056542996
t	0.029203089	0.046000823	0.18692212	0.41913915	0.26317298	0.055561904
i	0.01233183	0.016729238	0.030515464	0.108784705	0.2102118	0.621427
l	2.8660701e-05	5.4011078e-05	0.00017087333	0.008787187	0.9379827	0.052976593
o	0.038009953	0.045071114	0.05820128	0.11266175	0.3643941	0.38166183
</S>	7.905554e-06	1.737088e-05	2.628797e-05	0.0017961474	0.9514451	0.0467071
